study_word,thisN,thisTrialN,thisRepN,slider.response,slider.rt,test_word,Reference,old_new,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,trials.slider.response,trials.slider.rt,test.started,text_2.started,textbox.started,text_3.started,mouse.started,test.stopped,trials_2.textbox.text,trials_2.mouse.x,trials_2.mouse.y,trials_2.mouse.leftButton,trials_2.mouse.midButton,trials_2.mouse.rightButton,trials_2.mouse.time,trials_2.mouse.clicked_name,text_2.stopped,textbox.stopped,text_3.stopped,mouse.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
Case,0,0,0,1.4895397489539748,1.8618950829986716,,,,,,,,,,,,0,0,0,10,,,,,0.03800658300315263,,0.02195387500250945,0.03800658300315263,0.03800658300315263,1.8997301670024171,1.4895397489539748,1.8618950829986716,,,,,,,,,,,,,,,,,,,3,001,2025-10-16_11h07.15.467,WordPriming,,2025.1.1,120.56030352972431,2025-10-16 11h07.23.475568 +0530,
Pastry,1,1,0,1.4895397489539748,1.2701735000009649,,,,,,,,,,,,0,1,1,9,,,,,1.9097638329985784,,1.9032336250020307,1.9097638329985784,1.9097638329985784,3.1826811249993625,1.4895397489539748,1.2701735000009649,,,,,,,,,,,,,,,,,,,3,001,2025-10-16_11h07.15.467,WordPriming,,2025.1.1,120.56030352972431,2025-10-16 11h07.23.475568 +0530,
T-shirt,2,2,0,1.4895397489539748,1.071032458996342,,,,,,,,,,,,0,2,2,7,,,,,3.191831625001214,,3.185714375002135,3.191831625001214,3.191831625001214,4.266026416997192,1.4895397489539748,1.071032458996342,,,,,,,,,,,,,,,,,,,3,001,2025-10-16_11h07.15.467,WordPriming,,2025.1.1,120.56030352972431,2025-10-16 11h07.23.475568 +0530,
Police,3,3,0,1.4853556485355648,0.7564657920011086,,,,,,,,,,,,0,3,3,12,,,,,4.273739999996906,,4.267741083000146,4.273739999996906,4.273739999996906,5.032470042002387,1.4853556485355648,0.7564657920011086,,,,,,,,,,,,,,,,,,,3,001,2025-10-16_11h07.15.467,WordPriming,,2025.1.1,120.56030352972431,2025-10-16 11h07.23.475568 +0530,
Poster,4,4,0,1.4811715481171548,1.439725374999398,,,,,,,,,,,,0,4,4,14,,,,,5.040240542002721,,5.034205500000098,5.040240542002721,5.040240542002721,6.482733625001856,1.4811715481171548,1.439725374999398,,,,,,,,,,,,,,,,,,,3,001,2025-10-16_11h07.15.467,WordPriming,,2025.1.1,120.56030352972431,2025-10-16 11h07.23.475568 +0530,
marble,5,5,0,1.4853556485355648,0.90081554200151,,,,,,,,,,,,0,5,5,3,,,,,6.490533042000607,,6.484564625003259,6.490533042000607,6.490533042000607,7.393306457997824,1.4853556485355648,0.90081554200151,,,,,,,,,,,,,,,,,,,3,001,2025-10-16_11h07.15.467,WordPriming,,2025.1.1,120.56030352972431,2025-10-16 11h07.23.475568 +0530,
Chart,6,6,0,1.4853556485355648,0.8279888749966631,,,,,,,,,,,,0,6,6,6,,,,,7.403410958002496,,7.395620666997274,7.403410958002496,7.403410958002496,8.232780958001968,1.4853556485355648,0.8279888749966631,,,,,,,,,,,,,,,,,,,3,001,2025-10-16_11h07.15.467,WordPriming,,2025.1.1,120.56030352972431,2025-10-16 11h07.23.475568 +0530,
mouse,7,7,0,1.4895397489539748,0.7508291250051116,,,,,,,,,,,,0,7,7,8,,,,,8.240712999999232,,8.23453754199727,8.240712999999232,8.240712999999232,8.992982167001173,1.4895397489539748,0.7508291250051116,,,,,,,,,,,,,,,,,,,3,001,2025-10-16_11h07.15.467,WordPriming,,2025.1.1,120.56030352972431,2025-10-16 11h07.23.475568 +0530,
book,8,8,0,1.4895397489539748,0.5791645419958513,,,,,,,,,,,,0,8,8,0,,,,,9.003019832998689,,8.995012125000358,9.003019832998689,9.003019832998689,9.582721332997608,1.4895397489539748,0.5791645419958513,,,,,,,,,,,,,,,,,,,3,001,2025-10-16_11h07.15.467,WordPriming,,2025.1.1,120.56030352972431,2025-10-16 11h07.23.475568 +0530,
Keys ,9,9,0,1.4895397489539748,0.5384927920022164,,,,,,,,,,,,0,9,9,13,,,,,9.591172417000053,,9.585085792001337,9.591172417000053,9.591172417000053,10.132723832997726,1.4895397489539748,0.5384927920022164,,,,,,,,,,,,,,,,,,,3,001,2025-10-16_11h07.15.467,WordPriming,,2025.1.1,120.56030352972431,2025-10-16 11h07.23.475568 +0530,
