reward_today,future_reward,delay,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
15.0,35.0,13.0,0,0,0,l,3.6563722909777425,None,0,0,0,1,0.05622787500033155,,0.0463445000059437,0.05622787500033155,1.000274417019682,1.000274417019682,1.053027292015031,4.9321422500070184,l,3.6563722909777425,None,002,001,2025-11-06_14h36.17.809,delayed discounting,,2025.1.1,None,2025-11-06 14h36.26.702610 +0530,
9.0,18.0,12.0,1,1,0,l,1.5972736660041846,None,0,1,1,8,4.95156541702454,,4.9354443330084905,4.95156541702454,5.929830500012031,5.929830500012031,5.947215292020701,7.532185083022341,l,1.5972736660041846,None,002,001,2025-11-06_14h36.17.809,delayed discounting,,2025.1.1,None,2025-11-06 14h36.26.702610 +0530,
27.0,50.0,21.0,2,2,0,l,2.651412415987579,None,0,2,2,2,7.5508052080112975,,7.541712042002473,7.5508052080112975,8.529669833020307,8.529669833020307,8.54712329202448,11.189259917009622,l,2.651412415987579,None,002,001,2025-11-06_14h36.17.809,delayed discounting,,2025.1.1,None,2025-11-06 14h36.26.702610 +0530,
11.0,30.0,7.0,3,3,0,l,2.045376624999335,None,0,3,3,0,11.205009750003228,,11.195912333001615,11.205009750003228,12.18773112501367,12.18773112501367,12.197029333008686,14.239334458019584,l,2.045376624999335,None,002,001,2025-11-06_14h36.17.809,delayed discounting,,2025.1.1,None,2025-11-06 14h36.26.702610 +0530,
50.0,69.0,49.0,4,4,0,t,1.7398477070091758,None,0,4,4,9,14.258171042019967,,14.250941792008234,14.258171042019967,15.238043167017167,15.238043167017167,15.253876875009155,16.98295929201413,t,1.7398477070091758,None,002,001,2025-11-06_14h36.17.809,delayed discounting,,2025.1.1,None,2025-11-06 14h36.26.702610 +0530,
90.0,101.0,190.0,5,5,0,t,6.932238832989242,None,0,5,5,7,17.00105112500023,,16.99052758302423,17.00105112500023,17.97981275001075,17.97981275001075,17.996569708018797,24.91498075000709,t,6.932238832989242,None,002,001,2025-11-06_14h36.17.809,delayed discounting,,2025.1.1,None,2025-11-06 14h36.26.702610 +0530,
40.0,55.0,62.0,6,6,0,t,2.661721206997754,None,0,6,6,3,24.933853624999756,,24.922536541998852,24.933853624999756,25.91300324999611,25.91300324999611,25.930517125001643,28.582078667008318,t,2.661721206997754,None,002,001,2025-11-06_14h36.17.809,delayed discounting,,2025.1.1,None,2025-11-06 14h36.26.702610 +0530,
78.0,80.0,162.0,7,7,0,t,3.1706653330184054,None,0,7,7,6,28.59890033301781,,28.58986783301225,28.59890033301781,29.5798166670138,29.5798166670138,29.596753375022672,32.755426333023934,t,3.1706653330184054,None,002,001,2025-11-06_14h36.17.809,delayed discounting,,2025.1.1,None,2025-11-06 14h36.26.702610 +0530,
67.0,75.0,119.0,8,8,0,t,5.979227582982276,None,0,8,8,5,32.770857750001596,,32.7621687920182,32.770857750001596,33.75407525000628,33.75407525000628,33.76410579201183,39.739176875009434,t,5.979227582982276,None,002,001,2025-11-06_14h36.17.809,delayed discounting,,2025.1.1,None,2025-11-06 14h36.26.702610 +0530,
49.0,60.0,89.0,9,9,0,l,2.1597918319748715,None,0,9,9,4,39.75668170800782,,39.746540125022875,39.75668170800782,40.73808387501049,40.73808387501049,40.75370087500778,42.90499845801969,l,2.1597918319748715,None,002,001,2025-11-06_14h36.17.809,delayed discounting,,2025.1.1,None,2025-11-06 14h36.26.702610 +0530,
27.0,50.0,21.0,10,0,1,l,2.334408873983193,None,1,0,10,2,42.919945875008125,,42.91140112502035,42.919945875008125,43.90439529201831,43.90439529201831,43.91340795799624,46.24934900001972,l,2.334408873983193,None,002,001,2025-11-06_14h36.17.809,delayed discounting,,2025.1.1,None,2025-11-06 14h36.26.702610 +0530,
90.0,101.0,190.0,11,1,1,t,8.842307957005687,None,1,1,11,7,46.26614270801656,,46.256448708008975,46.26614270801656,47.24649337501614,47.24649337501614,47.26341991699883,56.09902525000507,t,8.842307957005687,None,002,001,2025-11-06_14h36.17.809,delayed discounting,,2025.1.1,None,2025-11-06 14h36.26.702610 +0530,
15.0,35.0,13.0,12,2,1,l,4.7988617910014,None,1,2,12,1,56.116456832998665,,56.10612895802478,56.116456832998665,57.0966480000061,57.0966480000061,57.1132365000085,61.89917858300032,l,4.7988617910014,None,002,001,2025-11-06_14h36.17.809,delayed discounting,,2025.1.1,None,2025-11-06 14h36.26.702610 +0530,
50.0,69.0,49.0,13,3,1,t,3.901015458017355,None,1,3,13,9,61.9152148750145,,61.9058369580016,61.9152148750145,62.89661470800638,62.89661470800638,62.91371408299892,66.79937237501144,t,3.901015458017355,None,002,001,2025-11-06_14h36.17.809,delayed discounting,,2025.1.1,None,2025-11-06 14h36.26.702610 +0530,
40.0,55.0,62.0,14,4,1,t,3.273090165981557,None,1,4,14,3,66.81661358301062,,66.80790512502426,66.81661358301062,67.79681141700712,67.79681141700712,67.81355575000634,71.07254812499741,t,3.273090165981557,None,002,001,2025-11-06_14h36.17.809,delayed discounting,,2025.1.1,None,2025-11-06 14h36.26.702610 +0530,
49.0,60.0,89.0,15,5,1,t,2.914050749997841,None,1,5,15,4,71.08789358299691,,71.07893962500384,71.08789358299691,72.07147108300705,72.07147108300705,72.08019645800232,74.99043345800601,t,2.914050749997841,None,002,001,2025-11-06_14h36.17.809,delayed discounting,,2025.1.1,None,2025-11-06 14h36.26.702610 +0530,
11.0,30.0,7.0,16,6,1,l,2.9918566239939537,None,1,6,16,0,75.00737845801632,,74.99802041699877,75.00737845801632,75.9885646670009,75.9885646670009,76.03163587499876,78.98257083300268,l,2.9918566239939537,None,002,001,2025-11-06_14h36.17.809,delayed discounting,,2025.1.1,None,2025-11-06 14h36.26.702610 +0530,
67.0,75.0,119.0,17,7,1,t,1.8060685829841532,None,1,7,17,5,78.99971062500845,,78.98964079201687,78.99971062500845,79.98015708301682,79.98015708301682,79.9976262920245,81.78890087502077,t,1.8060685829841532,None,002,001,2025-11-06_14h36.17.809,delayed discounting,,2025.1.1,None,2025-11-06 14h36.26.702610 +0530,
9.0,18.0,12.0,18,8,1,l,2.835988748993259,None,1,8,18,8,81.80559858301422,,81.79652654202073,81.80559858301422,82.78728054201929,82.78728054201929,82.80351687502116,85.63222425000276,l,2.835988748993259,None,002,001,2025-11-06_14h36.17.809,delayed discounting,,2025.1.1,None,2025-11-06 14h36.26.702610 +0530,
78.0,80.0,162.0,19,9,1,t,4.160341665992746,None,1,9,19,6,85.64790654199896,,85.63883941702079,85.64790654199896,86.62991212500492,86.62991212500492,86.64687020800193,90.79878675000509,t,4.160341665992746,None,002,001,2025-11-06_14h36.17.809,delayed discounting,,2025.1.1,None,2025-11-06 14h36.26.702610 +0530,
78.0,80.0,162.0,20,0,2,t,3.1779605000047013,None,2,0,20,6,90.81030450001708,,90.79909466701793,90.81030450001708,91.79692616700777,91.79692616700777,91.80451750001521,94.99936733301729,t,3.1779605000047013,None,002,001,2025-11-06_14h36.17.809,delayed discounting,,2025.1.1,None,2025-11-06 14h36.26.702610 +0530,
90.0,101.0,190.0,21,1,2,t,3.897422041016398,None,2,1,21,7,95.01701662500273,,95.00635958299972,95.01701662500273,95.99681691700243,95.99681691700243,96.01368204201572,99.89952900001663,t,3.897422041016398,None,002,001,2025-11-06_14h36.17.809,delayed discounting,,2025.1.1,None,2025-11-06 14h36.26.702610 +0530,
50.0,69.0,49.0,22,2,2,l,2.9990634160058107,None,2,2,22,9,99.91615337500116,,99.90743925000424,99.91615337500116,100.89712254202459,100.89712254202459,100.91420804199879,103.89920879201964,l,2.9990634160058107,None,002,001,2025-11-06_14h36.17.809,delayed discounting,,2025.1.1,None,2025-11-06 14h36.26.702610 +0530,
9.0,18.0,12.0,23,3,2,l,5.917646582995076,None,2,3,23,8,103.9148402500141,,103.90589320802246,103.9148402500141,104.89746637499775,104.89746637499775,104.90409837500192,110.82308349999948,l,5.917646582995076,None,002,001,2025-11-06_14h36.17.809,delayed discounting,,2025.1.1,None,2025-11-06 14h36.26.702610 +0530,
67.0,75.0,119.0,24,4,2,t,2.8995783739956096,None,2,4,24,5,110.83760837500449,,110.82981654201285,110.83760837500449,111.82205733301817,111.82205733301817,111.83045629202388,114.73165512501146,t,2.8995783739956096,None,002,001,2025-11-06_14h36.17.809,delayed discounting,,2025.1.1,None,2025-11-06 14h36.26.702610 +0530,
40.0,55.0,62.0,25,5,2,t,7.050834874011343,None,2,5,25,3,114.74802429199917,,114.7386283329979,114.74802429199917,115.73009395800182,115.73009395800182,115.7471332080022,122.79070237500127,t,7.050834874011343,None,002,001,2025-11-06_14h36.17.809,delayed discounting,,2025.1.1,None,2025-11-06 14h36.26.702610 +0530,
11.0,30.0,7.0,26,6,2,l,2.7652217489958275,None,2,6,26,0,122.80717904202174,,122.7981110420078,122.80717904202174,123.78824979200726,123.78824979200726,123.80498174999957,126.55693654200877,l,2.7652217489958275,None,002,001,2025-11-06_14h36.17.809,delayed discounting,,2025.1.1,None,2025-11-06 14h36.26.702610 +0530,
15.0,35.0,13.0,27,7,2,l,2.3158424159919377,None,2,7,27,1,126.57321125001181,,126.56510029200581,126.57321125001181,127.55460591701558,127.55460591701558,127.57107666702359,129.8724531250191,l,2.3158424159919377,None,002,001,2025-11-06_14h36.17.809,delayed discounting,,2025.1.1,None,2025-11-06 14h36.26.702610 +0530,
27.0,50.0,21.0,28,8,2,l,2.911613373988075,None,2,8,28,2,129.88792858301895,,129.87909037500503,129.88792858301895,130.8636120420124,130.8636120420124,130.8803273329977,133.8003759170242,l,2.911613373988075,None,002,001,2025-11-06_14h36.17.809,delayed discounting,,2025.1.1,None,2025-11-06 14h36.26.702610 +0530,
49.0,60.0,89.0,29,9,2,t,2.135378375009168,None,2,9,29,4,133.81452020801953,,133.8077078750066,133.81452020801953,134.79678324999986,134.79678324999986,134.81386483300594,136.9392951670161,t,2.135378375009168,None,002,001,2025-11-06_14h36.17.809,delayed discounting,,2025.1.1,None,2025-11-06 14h36.26.702610 +0530,
90.0,101.0,190.0,30,0,3,t,5.06435129098827,None,3,0,30,7,136.95500983300735,,136.94638441700954,136.95500983300735,137.93914854200557,137.93914854200557,137.96496116701746,143.00557487501646,t,5.06435129098827,None,002,001,2025-11-06_14h36.17.809,delayed discounting,,2025.1.1,None,2025-11-06 14h36.26.702610 +0530,
49.0,60.0,89.0,31,1,3,t,5.795558540994534,None,3,1,31,4,143.02144112501992,,143.0121567500173,143.02144112501992,143.99683487499715,143.99683487499715,144.01399612502428,149.79895950001082,t,5.795558540994534,None,002,001,2025-11-06_14h36.17.809,delayed discounting,,2025.1.1,None,2025-11-06 14h36.26.702610 +0530,
50.0,69.0,49.0,32,2,3,t,2.964307165995706,None,3,2,32,9,149.81616087502334,,149.8068769579986,149.81616087502334,150.79693508302444,150.79693508302444,150.8147428750235,153.766126292001,t,2.964307165995706,None,002,001,2025-11-06_14h36.17.809,delayed discounting,,2025.1.1,None,2025-11-06 14h36.26.702610 +0530,
15.0,35.0,13.0,33,3,3,l,2.163452041015262,None,3,3,33,1,153.7983715000155,,153.77265275001992,153.7983715000155,154.76362412501476,154.76362412501476,154.79710133300978,156.93251187499845,l,2.163452041015262,None,002,001,2025-11-06_14h36.17.809,delayed discounting,,2025.1.1,None,2025-11-06 14h36.26.702610 +0530,
40.0,55.0,62.0,34,4,3,t,1.716307749011321,None,3,4,34,3,156.94897583301645,,156.9395337080059,156.94897583301645,157.93067837500712,157.93067837500712,157.947798875015,159.6486636250047,t,1.716307749011321,None,002,001,2025-11-06_14h36.17.809,delayed discounting,,2025.1.1,None,2025-11-06 14h36.26.702610 +0530,
9.0,18.0,12.0,35,5,3,t,1.2622161249746569,None,3,5,35,8,159.66437029201188,,159.65542500000447,159.66437029201188,160.64685408302466,160.64685408302466,160.65366816701135,161.9160487500194,t,1.2622161249746569,None,002,001,2025-11-06_14h36.17.809,delayed discounting,,2025.1.1,None,2025-11-06 14h36.26.702610 +0530,
67.0,75.0,119.0,36,6,3,t,1.8239797909918707,None,3,6,36,5,161.9327477500192,,161.9234832500224,161.9327477500192,162.91389287501806,162.91389287501806,162.93042625000817,164.74890404200414,t,1.8239797909918707,None,002,001,2025-11-06_14h36.17.809,delayed discounting,,2025.1.1,None,2025-11-06 14h36.26.702610 +0530,
