pos,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials_2.key_resp.keys,trials_2.key_resp.corr,trials_2.key_resp.rt,trials_2.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
-50,x,0,0,0,lcommand,0,0.3901060000061989,None,0,0,0,0,,,,,0.03192170900001656,,0.023948709000251256,0.03192170900001656,1.009715749998577,1.009715749998577,1.009715749998577,1.009715749998577,1.0257195840094937,2.071777250006562,2.071777250006562,2.4712983339995844,lcommand,0,0.3901060000061989,None,,,,,03,001,2025-10-02_17h52.12.683,motor sequence learning,,2025.1.1,None,2025-10-02 17h52.26.045718 +0530,
150,v,1,1,0,lshift,0,0.5728309999976773,None,0,1,1,1,,,,,2.478161834005732,,2.4717722500063246,2.478161834005732,3.470376375000342,3.470376375000342,3.470376375000342,3.470376375000342,3.4780043339997064,4.468858542008093,4.468858542008093,5.043492958997376,lshift,0,0.5728309999976773,None,,,,,03,001,2025-10-02_17h52.12.683,motor sequence learning,,2025.1.1,None,2025-10-02 17h52.26.045718 +0530,
50,c,2,2,0,c,1,1.4777886240044609,None,0,2,2,2,,,,,5.053202625000267,,5.043935916997725,5.053202625000267,6.044662250002148,6.044662250002148,6.044662250002148,6.044662250002148,6.044662250002148,7.035912667008233,7.035912667008233,8.520703500005766,c,1,1.4777886240044609,None,,,,,03,001,2025-10-02_17h52.12.683,motor sequence learning,,2025.1.1,None,2025-10-02 17h52.26.045718 +0530,
-150,z,3,3,0,z,1,0.9902725830033887,None,0,3,3,3,,,,,8.534964792008395,,8.52105604200915,8.534964792008395,9.511016125004971,9.511016125004971,9.511016125004971,9.511016125004971,9.525973666997743,10.51105420901149,10.51105420901149,11.503922834002879,z,1,0.9902725830033887,None,,,,,03,001,2025-10-02_17h52.12.683,motor sequence learning,,2025.1.1,None,2025-10-02 17h52.26.045718 +0530,
-50,x,4,0,1,x,1,0.7541750829986995,None,1,0,4,0,,,,,11.509522042004392,,11.504275125000277,11.509522042004392,12.496064209000906,12.496064209000906,12.496064209000906,12.496064209000906,12.504161542005022,13.49428558400541,13.49428558400541,14.253228375004255,x,1,0.7541750829986995,None,,,,,03,001,2025-10-02_17h52.12.683,motor sequence learning,,2025.1.1,None,2025-10-02 17h52.26.045718 +0530,
150,v,5,1,1,v,1,0.37091091700131074,None,1,1,5,1,,,,,14.261100750009064,,14.253585833997931,14.261100750009064,15.246428625003318,15.246428625003318,15.246428625003318,15.246428625003318,15.254279667002265,16.244562874999247,16.244562874999247,16.62102354200033,v,1,0.37091091700131074,None,,,,,03,001,2025-10-02_17h52.12.683,motor sequence learning,,2025.1.1,None,2025-10-02 17h52.26.045718 +0530,
50,c,6,2,1,c,1,0.9183813330018893,None,1,2,6,2,,,,,16.62949341700005,,16.62144241700298,16.62949341700005,17.61263050000707,17.61263050000707,17.61263050000707,17.61263050000707,17.620190917004948,18.61097104199871,18.61097104199871,19.538210792001337,c,1,0.9183813330018893,None,,,,,03,001,2025-10-02_17h52.12.683,motor sequence learning,,2025.1.1,None,2025-10-02 17h52.26.045718 +0530,
-150,z,7,3,1,z,1,0.38512495800387114,None,1,3,7,3,,,,,19.547482125009992,,19.538651499999105,19.547482125009992,20.535995625003125,20.535995625003125,20.535995625003125,20.535995625003125,20.54355829200358,21.53723270900082,21.53723270900082,21.92819041700568,z,1,0.38512495800387114,None,,,,,03,001,2025-10-02_17h52.12.683,motor sequence learning,,2025.1.1,None,2025-10-02 17h52.26.045718 +0530,
-50,x,8,0,2,x,1,0.27939183299895376,None,2,0,8,0,,,,,21.936830250007915,,21.928647749999072,21.936830250007915,22.92807345899928,22.92807345899928,22.92807345899928,22.92807345899928,22.92807345899928,23.92794279201189,23.92794279201189,24.210496584011707,x,1,0.27939183299895376,None,,,,,03,001,2025-10-02_17h52.12.683,motor sequence learning,,2025.1.1,None,2025-10-02 17h52.26.045718 +0530,
150,v,9,1,2,v,1,0.4540599169995403,None,2,1,9,1,,,,,24.218678834004095,,24.21084520900331,24.218678834004095,25.21092970900645,25.21092970900645,25.21092970900645,25.21092970900645,25.21092970900645,26.202173334007966,26.202173334007966,26.661277250008425,v,1,0.4540599169995403,None,,,,,03,001,2025-10-02_17h52.12.683,motor sequence learning,,2025.1.1,None,2025-10-02 17h52.26.045718 +0530,
50,c,10,2,2,c,1,0.6594262909929967,None,2,2,10,2,,,,,26.66982716700295,,26.661712834000355,26.66982716700295,27.66217854199931,27.66217854199931,27.66217854199931,27.66217854199931,27.66217854199931,28.660865292011295,28.660865292011295,29.321336042004987,c,1,0.6594262909929967,None,,,,,03,001,2025-10-02_17h52.12.683,motor sequence learning,,2025.1.1,None,2025-10-02 17h52.26.045718 +0530,
-150,z,11,3,2,z,1,0.3102408329868922,None,2,3,11,3,,,,,29.32663741700526,,29.321795459007262,29.32663741700526,30.318873834010446,30.318873834010446,30.318873834010446,30.318873834010446,30.318873834010446,31.3119419170107,31.3119419170107,31.62815658400359,z,1,0.3102408329868922,None,,,,,03,001,2025-10-02_17h52.12.683,motor sequence learning,,2025.1.1,None,2025-10-02 17h52.26.045718 +0530,
-50,x,12,0,3,v,0,0.26863054098794237,None,3,0,12,0,,,,,31.63714083400555,,31.628606792000937,31.63714083400555,32.62712091700814,32.62712091700814,32.62712091700814,32.62712091700814,32.62712091700814,33.626534625000204,33.626534625000204,33.905079875010415,v,0,0.26863054098794237,None,,,,,03,001,2025-10-02_17h52.12.683,motor sequence learning,,2025.1.1,None,2025-10-02 17h52.26.045718 +0530,
150,v,13,1,3,v,1,0.3094359999959124,None,3,1,13,1,,,,,33.91439700000046,,33.90559262500028,33.91439700000046,34.90275708401168,34.90275708401168,34.90275708401168,34.90275708401168,34.910439416999,35.90269829200406,35.90269829200406,36.22142091700516,v,1,0.3094359999959124,None,,,,,03,001,2025-10-02_17h52.12.683,motor sequence learning,,2025.1.1,None,2025-10-02 17h52.26.045718 +0530,
50,c,14,2,3,c,1,0.39773900000727735,None,3,2,14,2,,,,,36.23046200000681,,36.22185895900475,36.23046200000681,37.21876283400343,37.21876283400343,37.21876283400343,37.21876283400343,37.22604316700017,38.22029337500862,38.22029337500862,38.62149250000948,c,1,0.39773900000727735,None,,,,,03,001,2025-10-02_17h52.12.683,motor sequence learning,,2025.1.1,None,2025-10-02 17h52.26.045718 +0530,
-150,z,15,3,3,z,1,0.26911458300310187,None,3,3,15,3,,,,,38.63079354200454,,38.62196208399837,38.63079354200454,39.62007662501128,39.62007662501128,39.62007662501128,39.62007662501128,39.62749820901081,40.61994820900145,40.61994820900145,40.89370870900166,z,1,0.26911458300310187,None,,,,,03,001,2025-10-02_17h52.12.683,motor sequence learning,,2025.1.1,None,2025-10-02 17h52.26.045718 +0530,
-50,x,16,0,4,x,1,0.3499560409982223,None,4,0,16,0,,,,,40.9022767090064,,40.89413358400634,40.9022767090064,41.8947810420068,41.8947810420068,41.8947810420068,41.8947810420068,41.8947810420068,42.89399895899987,42.89399895899987,43.25369304200285,x,1,0.3499560409982223,None,,,,,03,001,2025-10-02_17h52.12.683,motor sequence learning,,2025.1.1,None,2025-10-02 17h52.26.045718 +0530,
150,v,17,1,4,v,1,0.41963729199778754,None,4,1,17,1,,,,,43.26190291700186,,43.254197583999485,43.26190291700186,44.244875667005545,44.244875667005545,44.244875667005545,44.244875667005545,44.25232691700512,45.24326604200178,45.24326604200178,45.670848459005356,v,1,0.41963729199778754,None,,,,,03,001,2025-10-02_17h52.12.683,motor sequence learning,,2025.1.1,None,2025-10-02 17h52.26.045718 +0530,
50,c,18,2,4,c,1,0.7290337489976082,None,4,2,18,2,,,,,45.67834704200504,,45.67120050000085,45.67834704200504,46.662066459000926,46.662066459000926,46.662066459000926,46.662066459000926,46.669029875003616,47.6608436670067,47.6608436670067,48.39424462500028,c,1,0.7290337489976082,None,,,,,03,001,2025-10-02_17h52.12.683,motor sequence learning,,2025.1.1,None,2025-10-02 17h52.26.045718 +0530,
-150,z,19,3,4,z,1,0.40835012499883305,None,4,3,19,3,,,,,48.40365412500978,,48.39468762499746,48.40365412500978,49.39503295900067,49.39503295900067,49.39503295900067,49.39503295900067,49.39503295900067,50.385447125008795,50.385447125008795,50.79502658400452,z,1,0.40835012499883305,None,,,,,03,001,2025-10-02_17h52.12.683,motor sequence learning,,2025.1.1,None,2025-10-02 17h52.26.045718 +0530,
-50,x,20,0,5,x,1,0.5076353330077836,None,5,0,20,0,,,,,50.80323929199949,,50.79542291699909,50.80323929199949,51.795513792007114,51.795513792007114,51.795513792007114,51.795513792007114,51.795513792007114,52.794060583997634,52.794060583997634,53.30502291700395,x,1,0.5076353330077836,None,,,,,03,001,2025-10-02_17h52.12.683,motor sequence learning,,2025.1.1,None,2025-10-02 17h52.26.045718 +0530,
150,v,21,1,5,v,1,0.5874612080078805,None,5,1,21,1,,,,,53.313513959001284,,53.30549337500997,53.313513959001284,54.303579917002935,54.303579917002935,54.303579917002935,54.303579917002935,54.31160537499818,55.302247291998356,55.302247291998356,55.89408966701012,v,1,0.5874612080078805,None,,,,,03,001,2025-10-02_17h52.12.683,motor sequence learning,,2025.1.1,None,2025-10-02 17h52.26.045718 +0530,
50,c,22,2,5,c,1,0.3843114159972174,None,5,2,22,2,,,,,55.90227691701148,,55.89449654200871,55.90227691701148,56.89555595901038,56.89555595901038,56.89555595901038,56.89555595901038,56.89555595901038,57.886269584007096,57.886269584007096,58.27483037499769,c,1,0.3843114159972174,None,,,,,03,001,2025-10-02_17h52.12.683,motor sequence learning,,2025.1.1,None,2025-10-02 17h52.26.045718 +0530,
-150,z,23,3,5,z,1,0.5321864160068799,None,5,3,23,3,,,,,58.28703425001004,,58.275251792001654,58.28703425001004,59.27023491699947,59.27023491699947,59.27023491699947,59.27023491699947,59.27762291699764,60.26935612500529,60.26935612500529,60.8046725000022,z,1,0.5321864160068799,None,,,,,03,001,2025-10-02_17h52.12.683,motor sequence learning,,2025.1.1,None,2025-10-02 17h52.26.045718 +0530,
-50,x,24,0,6,x,1,0.469437708001351,None,6,0,24,0,,,,,60.809259292000206,,60.80519629199989,60.809259292000206,61.80331850000948,61.80331850000948,61.80331850000948,61.80331850000948,61.80331850000948,62.80337520899775,62.80337520899775,63.2772639169998,x,1,0.469437708001351,None,,,,,03,001,2025-10-02_17h52.12.683,motor sequence learning,,2025.1.1,None,2025-10-02 17h52.26.045718 +0530,
