study_word,thisN,thisTrialN,thisRepN,slider.response,slider.rt,test_word,Reference,old_new,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,trials.slider.response,trials.slider.rt,test.started,text_2.started,textbox.started,text_3.started,mouse.started,test.stopped,trials_2.textbox.text,trials_2.mouse.x,trials_2.mouse.y,trials_2.mouse.leftButton,trials_2.mouse.midButton,trials_2.mouse.rightButton,trials_2.mouse.time,trials_2.mouse.clicked_name,text_2.stopped,textbox.stopped,text_3.stopped,mouse.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
Pastry,0,0,0,1.506276150627615,2.5339492920029443,,,,,,,,,,,,0,0,0,9,,,,,0.2641063330011093,,0.02233945800253423,0.2641063330011093,0.2641063330011093,2.565412000003562,1.506276150627615,2.5339492920029443,,,,,,,,,,,,,,,,,,,1,001,2025-10-16_11h01.25.506,WordPriming,,2025.1.1,120.70540285195403,2025-10-16 11h01.32.722808 +0530,
Police,1,1,0,1.506276150627615,1.1218455839989474,,,,,,,,,,,,0,1,1,12,,,,,2.574378791003255,,2.568296041004942,2.574378791003255,2.574378791003255,3.698890958003176,1.506276150627615,1.1218455839989474,,,,,,,,,,,,,,,,,,,1,001,2025-10-16_11h01.25.506,WordPriming,,2025.1.1,120.70540285195403,2025-10-16 11h01.32.722808 +0530,
cushion,2,2,0,1.502092050209205,0.8538967909989879,,,,,,,,,,,,0,2,2,1,,,,,3.7079152910009725,,3.7018613330001244,3.7079152910009725,3.7079152910009725,4.565417416000855,1.502092050209205,0.8538967909989879,,,,,,,,,,,,,,,,,,,1,001,2025-10-16_11h01.25.506,WordPriming,,2025.1.1,120.70540285195403,2025-10-16 11h01.32.722808 +0530,
Poster,3,3,0,1.4769874476987448,0.6556095000050846,,,,,,,,,,,,0,3,3,14,,,,,4.5734264999991865,,4.567214750000858,4.5734264999991865,4.5734264999991865,5.232085499999812,1.4769874476987448,0.6556095000050846,,,,,,,,,,,,,,,,,,,1,001,2025-10-16_11h01.25.506,WordPriming,,2025.1.1,120.70540285195403,2025-10-16 11h01.32.722808 +0530,
T-shirt,4,4,0,1.4728033472803348,0.6547575829972629,,,,,,,,,,,,0,4,4,7,,,,,5.240741166002408,,5.23489304100076,5.240741166002408,5.240741166002408,5.898769291001372,1.4728033472803348,0.6547575829972629,,,,,,,,,,,,,,,,,,,1,001,2025-10-16_11h01.25.506,WordPriming,,2025.1.1,120.70540285195403,2025-10-16 11h01.32.722808 +0530,
phone,5,5,0,1.4686192468619246,0.8546403750005993,,,,,,,,,,,,0,5,5,2,,,,,5.907526791001146,,5.901322249999794,5.907526791001146,5.907526791001146,6.765396791000967,1.4686192468619246,0.8546403750005993,,,,,,,,,,,,,,,,,,,1,001,2025-10-16_11h01.25.506,WordPriming,,2025.1.1,120.70540285195403,2025-10-16 11h01.32.722808 +0530,
Chart,6,6,0,1.4686192468619246,0.5734956250016694,,,,,,,,,,,,0,6,6,6,,,,,6.773166625003796,,6.767227290998562,6.773166625003796,6.773166625003796,7.348764291004045,1.4686192468619246,0.5734956250016694,,,,,,,,,,,,,,,,,,,1,001,2025-10-16_11h01.25.506,WordPriming,,2025.1.1,120.70540285195403,2025-10-16 11h01.32.722808 +0530,
Keys ,7,7,0,1.4686192468619246,0.5213494160052505,,,,,,,,,,,,0,7,7,13,,,,,7.35712166599842,,7.351164375002554,7.35712166599842,7.35712166599842,7.882506082998589,1.4686192468619246,0.5213494160052505,,,,,,,,,,,,,,,,,,,1,001,2025-10-16_11h01.25.506,WordPriming,,2025.1.1,120.70540285195403,2025-10-16 11h01.32.722808 +0530,
Case,8,8,0,1.4686192468619246,0.4554477920028148,,,,,,,,,,,,0,8,8,10,,,,,7.890344125000411,,7.8841604580011335,7.890344125000411,7.890344125000411,8.348698624999088,1.4686192468619246,0.4554477920028148,,,,,,,,,,,,,,,,,,,1,001,2025-10-16_11h01.25.506,WordPriming,,2025.1.1,120.70540285195403,2025-10-16 11h01.32.722808 +0530,
marble,9,9,0,1.4686192468619246,0.5393578750008601,,,,,,,,,,,,0,9,9,3,,,,,8.356442958000116,,8.350606291001895,8.356442958000116,8.356442958000116,8.898737000003166,1.4686192468619246,0.5393578750008601,,,,,,,,,,,,,,,,,,,1,001,2025-10-16_11h01.25.506,WordPriming,,2025.1.1,120.70540285195403,2025-10-16 11h01.32.722808 +0530,
Cruise,10,10,0,1.4686192468619246,0.5900225000004866,,,,,,,,,,,,0,10,10,11,,,,,8.90654183299921,,8.900408540997887,8.90654183299921,8.90654183299921,9.49910604100296,1.4686192468619246,0.5900225000004866,,,,,,,,,,,,,,,,,,,1,001,2025-10-16_11h01.25.506,WordPriming,,2025.1.1,120.70540285195403,2025-10-16 11h01.32.722808 +0530,
mouse,11,11,0,1.4686192468619246,0.6049017499972251,,,,,,,,,,,,0,11,11,8,,,,,9.506968749999942,,9.500885624998773,9.506968749999942,9.506968749999942,10.115483250003308,1.4686192468619246,0.6049017499972251,,,,,,,,,,,,,,,,,,,1,001,2025-10-16_11h01.25.506,WordPriming,,2025.1.1,120.70540285195403,2025-10-16 11h01.32.722808 +0530,
Laptop,12,12,0,1.4686192468619246,0.4885826250028913,,,,,,,,,,,,0,12,12,5,,,,,10.123724165998283,,10.117772208002862,10.123724165998283,10.123724165998283,10.615421458001947,1.4686192468619246,0.4885826250028913,,,,,,,,,,,,,,,,,,,1,001,2025-10-16_11h01.25.506,WordPriming,,2025.1.1,120.70540285195403,2025-10-16 11h01.32.722808 +0530,
