pos,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials_2.key_resp.keys,trials_2.key_resp.corr,trials_2.key_resp.rt,trials_2.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
-50,x,0,0,0,x,1,0.39069295801164117,None,0,0,0,0,,,,,0.04534974999842234,,0.037092917002155446,0.04534974999842234,1.0102231670025503,1.0102231670025503,1.0102231670025503,1.0102231670025503,1.0367443339928286,1.9988675839995267,1.9988675839995267,2.6086377920000814,x,1,0.39069295801164117,None,,,,,2,001,2025-10-02_17h33.16.260,motor sequence learning,,2025.1.1,None,2025-10-02 17h33.26.653033 +0530,
150,v,1,1,0,v,1,0.33046441699843854,None,0,1,1,1,,,,,2.6220582499954617,,2.60889054198924,2.6220582499954617,3.6078534169937484,3.6078534169937484,3.6078534169937484,3.6078534169937484,3.615229333998286,4.606631417002063,4.606631417002063,4.940194958995562,v,1,0.33046441699843854,None,,,,,2,001,2025-10-02_17h33.16.260,motor sequence learning,,2025.1.1,None,2025-10-02 17h33.26.653033 +0530,
50,c,2,2,0,c,1,0.30503891699481755,None,0,2,2,2,,,,,4.949364708998473,,4.9406179590005195,4.949364708998473,5.940110083989566,5.940110083989566,5.940110083989566,5.940110083989566,5.940110083989566,6.939055958995596,6.939055958995596,7.250100833989563,c,1,0.30503891699481755,None,,,,,2,001,2025-10-02_17h33.16.260,motor sequence learning,,2025.1.1,None,2025-10-02 17h33.26.653033 +0530,
-150,z,3,3,0,z,1,0.306424957991112,None,0,3,3,3,,,,,7.259415209002327,,7.250510083991685,7.259415209002327,8.241100792001816,8.241100792001816,8.241100792001816,8.241100792001816,8.255769833995146,9.247429791998002,9.247429791998002,9.556185875000665,z,1,0.306424957991112,None,,,,,2,001,2025-10-02_17h33.16.260,motor sequence learning,,2025.1.1,None,2025-10-02 17h33.26.653033 +0530,
-50,x,4,0,1,x,1,0.27822125000238884,None,1,0,4,0,,,,,9.565869541998836,,9.55641104199458,9.565869541998836,10.547471666999627,10.547471666999627,10.547471666999627,10.547471666999627,10.565687041991623,11.556623083990416,11.556623083990416,11.840967625001213,x,1,0.27822125000238884,None,,,,,2,001,2025-10-02_17h33.16.260,motor sequence learning,,2025.1.1,None,2025-10-02 17h33.26.653033 +0530,
150,v,5,1,1,v,1,0.3387225829937961,None,1,1,5,1,,,,,11.849478459000238,,11.841382833998068,11.849478459000238,12.840480583996396,12.840480583996396,12.840480583996396,12.840480583996396,12.840480583996396,13.839224166993517,13.839224166993517,14.183468000002904,v,1,0.3387225829937961,None,,,,,2,001,2025-10-02_17h33.16.260,motor sequence learning,,2025.1.1,None,2025-10-02 17h33.26.653033 +0530,
50,c,6,2,1,c,1,0.2356718740047654,None,1,2,6,2,,,,,14.188218374998542,,14.18398599998909,14.188218374998542,15.182004333997611,15.182004333997611,15.182004333997611,15.182004333997611,15.182004333997611,16.181158334002248,16.181158334002248,16.422093250002945,c,1,0.2356718740047654,None,,,,,2,001,2025-10-02_17h33.16.260,motor sequence learning,,2025.1.1,None,2025-10-02 17h33.26.653033 +0530,
-150,z,7,3,1,z,1,0.27795387399964966,None,1,3,7,3,,,,,16.430719416996,,16.422436499997275,16.430719416996,17.41423329200188,17.41423329200188,17.41423329200188,17.41423329200188,17.42164645899902,18.421920791995944,18.421920791995944,18.706309916989994,z,1,0.27795387399964966,None,,,,,2,001,2025-10-02_17h33.16.260,motor sequence learning,,2025.1.1,None,2025-10-02 17h33.26.653033 +0530,
-50,x,8,0,2,x,1,0.10847270798694808,None,2,0,8,0,,,,,18.714352166993194,,18.706675166991772,18.714352166993194,19.69758754200302,19.69758754200302,19.69758754200302,19.69758754200302,19.705538916998194,20.707121833998826,20.707121833998826,20.816732874998706,x,1,0.10847270798694808,None,,,,,2,001,2025-10-02_17h33.16.260,motor sequence learning,,2025.1.1,None,2025-10-02 17h33.26.653033 +0530,
150,v,9,1,2,v,1,0.29607408300216775,None,2,1,9,1,,,,,20.825609749997966,,20.817153124997276,20.825609749997966,21.807308124989504,21.807308124989504,21.807308124989504,21.807308124989504,21.822109959000954,22.814052583999,22.814052583999,23.116477167000994,v,1,0.29607408300216775,None,,,,,2,001,2025-10-02_17h33.16.260,motor sequence learning,,2025.1.1,None,2025-10-02 17h33.26.653033 +0530,
