5.8602 	EXP 	grating: autoDraw = False
5.8602 	EXP 	grating: ori = np.float64(-1.0)
5.8602 	EXP 	fixation: autoDraw = True
6.0538 	EXP 	Device response: <KeyPress from None: t=5.851787792009418, value=right, duration=0.19232816599833313>
6.3520 	INFO 	Keyboard events cleared
6.3518 	EXP 	grating: autoDraw = True
6.3555 	EXP 	fixation: autoDraw = False
6.6395 	EXP 	grating: autoDraw = False
6.8699 	EXP 	Device response: <KeyPress from None: t=6.868592292012181, value=left, duration=None>
6.8745 	DATA 	Keypress: left
6.8772 	EXP 	fixation: autoDraw = False
6.8772 	EXP 	grating: autoDraw = False
6.8772 	EXP 	grating: ori = np.float64(-1.0)
6.8772 	EXP 	fixation: autoDraw = True
7.0367 	EXP 	Device response: <KeyPress from None: t=6.868592292012181, value=left, duration=0.15633308299584314>
7.3690 	INFO 	Keyboard events cleared
7.3688 	EXP 	grating: autoDraw = True
7.3735 	EXP 	fixation: autoDraw = False
7.6555 	EXP 	grating: autoDraw = False
7.6699 	EXP 	Device response: <KeyPress from None: t=7.658845125013613, value=right, duration=None>
7.6746 	DATA 	Keypress: right
7.6775 	EXP 	fixation: autoDraw = False
7.6775 	EXP 	grating: autoDraw = False
7.6775 	EXP 	grating: ori = np.float64(2.0)
7.6775 	EXP 	fixation: autoDraw = True
7.8403 	EXP 	Device response: <KeyPress from None: t=7.658845125013613, value=right, duration=0.177065332987695>
8.1688 	INFO 	Keyboard events cleared
8.1686 	EXP 	grating: autoDraw = True
8.1729 	EXP 	fixation: autoDraw = False
8.4553 	EXP 	grating: autoDraw = False
8.6367 	EXP 	Device response: <KeyPress from None: t=8.63071129200398, value=right, duration=None>
8.6415 	DATA 	Keypress: right
8.6444 	EXP 	fixation: autoDraw = False
8.6444 	EXP 	grating: autoDraw = False
8.6444 	EXP 	grating: ori = np.float64(2.0)
8.6444 	EXP 	fixation: autoDraw = True
8.8038 	EXP 	Device response: <KeyPress from None: t=8.63071129200398, value=right, duration=0.16425808300846256>
9.1354 	INFO 	Keyboard events cleared
