reward_today,future_reward,delay,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
49.0,60.0,89.0,0,0,0,l,1.8108846659888513,None,0,0,0,4,0.055374624993419275,,0.046804915997199714,0.055374624993419275,1.0055179579940159,1.0055179579940159,1.0465914160013199,3.0286485829856247,l,1.8108846659888513,None,004,001,2025-11-06_14h47.41.964,delayed discounting,,2025.1.1,None,2025-11-06 14h47.50.753267 +0530,
40.0,55.0,62.0,1,1,0,t,2.5697380819765385,None,0,1,1,3,3.048153415991692,,3.031306249991758,3.048153415991692,4.024109874997521,4.024109874997521,4.040862416004529,6.600185457995394,t,2.5697380819765385,None,004,001,2025-11-06_14h47.41.964,delayed discounting,,2025.1.1,None,2025-11-06 14h47.50.753267 +0530,
90.0,101.0,190.0,2,2,0,t,1.6513595410215203,None,0,2,2,7,6.619185749994358,,6.6103714579949155,6.619185749994358,7.598467290983535,7.598467290983535,7.614774582994869,9.259978374990169,t,1.6513595410215203,None,004,001,2025-11-06_14h47.41.964,delayed discounting,,2025.1.1,None,2025-11-06 14h47.50.753267 +0530,
78.0,80.0,162.0,3,3,0,t,0.8644030830182601,None,0,3,3,6,9.291549957997631,,9.268615040986333,9.291549957997631,10.257421791000525,10.257421791000525,10.28097424999578,11.126063790987246,t,0.8644030830182601,None,004,001,2025-11-06_14h47.41.964,delayed discounting,,2025.1.1,None,2025-11-06 14h47.50.753267 +0530,
27.0,50.0,21.0,4,4,0,l,1.9535221660044044,None,0,4,4,2,11.141482874983922,,11.132623290992342,11.141482874983922,12.124182083003689,12.124182083003689,12.131571040983545,14.083315791009227,l,1.9535221660044044,None,004,001,2025-11-06_14h47.41.964,delayed discounting,,2025.1.1,None,2025-11-06 14h47.50.753267 +0530,
50.0,69.0,49.0,5,5,0,t,0.5969729159842245,None,0,5,5,9,14.099669290997554,,14.090809582994552,14.099669290997554,15.081634416012093,15.081634416012093,15.098081083007855,15.682779499999015,t,0.5969729159842245,None,004,001,2025-11-06_14h47.41.964,delayed discounting,,2025.1.1,None,2025-11-06 14h47.50.753267 +0530,
9.0,18.0,12.0,6,6,0,l,0.6994296659831889,None,0,6,6,8,15.698821416008286,,15.690333083010046,15.698821416008286,16.682146625011228,16.682146625011228,16.690939583000727,17.382820541010005,l,0.6994296659831889,None,004,001,2025-11-06_14h47.41.964,delayed discounting,,2025.1.1,None,2025-11-06 14h47.50.753267 +0530,
67.0,75.0,119.0,7,7,0,t,0.48756787402089685,None,0,7,7,5,17.39687287498964,,17.388906208012486,17.39687287498964,18.382098041009158,18.382098041009158,18.39094341598684,18.87623562500812,t,0.48756787402089685,None,004,001,2025-11-06_14h47.41.964,delayed discounting,,2025.1.1,None,2025-11-06 14h47.50.753267 +0530,
11.0,30.0,7.0,8,8,0,l,0.8063102909945883,None,0,8,8,0,18.894542875001207,,18.885374415986007,18.894542875001207,19.874195749987848,19.874195749987848,19.890851915988605,20.682112165988656,l,0.8063102909945883,None,004,001,2025-11-06_14h47.41.964,delayed discounting,,2025.1.1,None,2025-11-06 14h47.50.753267 +0530,
15.0,35.0,13.0,9,9,0,l,0.6350680000032298,None,0,9,9,1,20.697840250009904,,20.68879783299053,20.697840250009904,21.67444187498768,21.67444187498768,21.690925415983656,22.317639082990354,l,0.6350680000032298,None,004,001,2025-11-06_14h47.41.964,delayed discounting,,2025.1.1,None,2025-11-06 14h47.50.753267 +0530,
