pos,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials_2.key_resp.keys,trials_2.key_resp.corr,trials_2.key_resp.rt,trials_2.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
-50,x,0,0,0,x,1,1.1450460000050953,None,0,0,0,0,,,,,0.02894016601203475,,0.02449787501245737,0.02894016601203475,1.0011388749990147,1.0011388749990147,1.0011388749990147,1.0011388749990147,1.0254895410034806,1.998702791010146,1.998702791010146,3.476179958001012,x,1,1.1450460000050953,None,,,,,1,001,2025-10-02_17h12.43.988,motor sequence learning,,2025.1.1,None,2025-10-02 17h13.09.745393 +0530,
150,v,1,1,0,v,1,0.8804447919974336,None,0,1,1,1,,,,,3.485281750006834,,3.476466791005805,3.485281750006834,4.465240875011659,4.465240875011659,4.465240875011659,4.465240875011659,4.480889416008722,5.464565375004895,5.464565375004895,6.350398082999163,v,1,0.8804447919974336,None,,,,,1,001,2025-10-02_17h12.43.988,motor sequence learning,,2025.1.1,None,2025-10-02 17h13.09.745393 +0530,
50,c,2,2,0,c,1,1.078916250000475,None,0,2,2,2,,,,,6.357760124999913,,6.350699875009013,6.357760124999913,7.349057666011504,7.349057666011504,7.349057666011504,7.349057666011504,7.349057666011504,8.348674875000142,8.348674875000142,9.433942208008375,c,1,1.078916250000475,None,,,,,1,001,2025-10-02_17h12.43.988,motor sequence learning,,2025.1.1,None,2025-10-02 17h13.09.745393 +0530,
-150,z,3,3,0,z,1,0.7909776659944328,None,0,3,3,3,,,,,9.441131166007835,,9.434280958012096,9.441131166007835,10.432451790999039,10.432451790999039,10.432451790999039,10.432451790999039,10.432451790999039,11.431717083003605,11.431717083003605,12.228292541010887,z,1,0.7909776659944328,None,,,,,1,001,2025-10-02_17h12.43.988,motor sequence learning,,2025.1.1,None,2025-10-02 17h13.09.745393 +0530,
-50,x,4,0,1,x,1,0.6465767909976421,None,1,0,4,0,,,,,12.234013250010321,,12.228563208002015,12.234013250010321,13.22551541600842,13.22551541600842,13.22551541600842,13.22551541600842,13.231942750004237,14.225555291006458,14.225555291006458,14.877893875003792,x,1,0.6465767909976421,None,,,,,1,001,2025-10-02_17h12.43.988,motor sequence learning,,2025.1.1,None,2025-10-02 17h13.09.745393 +0530,
150,v,5,1,1,v,1,0.8442257090064231,None,1,1,5,1,,,,,14.884097333007958,,14.878151750002871,14.884097333007958,15.875568083007238,15.875568083007238,15.875568083007238,15.875568083007238,15.882389500009594,16.875512500002515,16.875512500002515,17.727539416009677,v,1,0.8442257090064231,None,,,,,1,001,2025-10-02_17h12.43.988,motor sequence learning,,2025.1.1,None,2025-10-02 17h13.09.745393 +0530,
50,c,6,2,1,c,1,0.9700282080011675,None,1,2,6,2,,,,,17.73343120800564,,17.727783416004968,17.73343120800564,18.72552583301149,18.72552583301149,18.72552583301149,18.72552583301149,18.731509416000335,19.725567958012107,19.725567958012107,20.69951404099993,c,1,0.9700282080011675,None,,,,,1,001,2025-10-02_17h12.43.988,motor sequence learning,,2025.1.1,None,2025-10-02 17h13.09.745393 +0530,
-150,z,7,3,1,z,1,0.6989663330023177,None,1,3,7,3,,,,,20.708868665999034,,20.699766582998564,20.708868665999034,21.698061540999333,21.698061540999333,21.698061540999333,21.698061540999333,21.698061540999333,22.69790841601207,22.69790841601207,23.39908283299883,z,1,0.6989663330023177,None,,,,,1,001,2025-10-02_17h12.43.988,motor sequence learning,,2025.1.1,None,2025-10-02 17h13.09.745393 +0530,
-50,x,8,0,2,x,1,0.667371000003186,None,2,0,8,0,,,,,23.40887312500854,,23.399342750009964,23.40887312500854,24.39911695801129,24.39911695801129,24.39911695801129,24.39911695801129,24.39911695801129,25.39220479100186,25.39220479100186,26.061213500011945,x,1,0.667371000003186,None,,,,,1,001,2025-10-02_17h12.43.988,motor sequence learning,,2025.1.1,None,2025-10-02 17h13.09.745393 +0530,
150,v,9,1,2,v,1,1.029445707987179,None,2,1,9,1,,,,,26.065194750000956,,26.061469833002775,26.065194750000956,27.058859166005277,27.058859166005277,27.058859166005277,27.058859166005277,27.058859166005277,28.058965041011106,28.058965041011106,29.09495691600023,v,1,1.029445707987179,None,,,,,1,001,2025-10-02_17h12.43.988,motor sequence learning,,2025.1.1,None,2025-10-02 17h13.09.745393 +0530,
