reward_today,future_reward,delay,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
27.0,50.0,21.0,0,0,0,l,2.704609956999775,None,0,0,0,2,0.05150550001417287,,0.042268042016075924,0.05150550001417287,0.9957320420071483,0.9957320420071483,1.0510632090154104,3.9217303750046995,l,2.704609956999775,None,003,001,2025-11-06_14h42.45.019,delayed discounting,,2025.1.1,None,2025-11-06 14h42.56.386072 +0530,
67.0,75.0,119.0,1,1,0,t,0.5379085820168257,None,0,1,1,5,3.9340815840114374,,3.9245468339941,3.9340815840114374,4.916895875008777,4.916895875008777,4.9239329590054695,5.459460709011182,t,0.5379085820168257,None,003,001,2025-11-06_14h42.45.019,delayed discounting,,2025.1.1,None,2025-11-06 14h42.56.386072 +0530,
78.0,80.0,162.0,2,2,0,t,0.5475533329881728,None,0,2,2,6,5.477650917018764,,5.46923358400818,5.477650917018764,6.458301125006983,6.458301125006983,6.474537834001239,7.019599709019531,t,0.5475533329881728,None,003,001,2025-11-06_14h42.45.019,delayed discounting,,2025.1.1,None,2025-11-06 14h42.56.386072 +0530,
11.0,30.0,7.0,3,3,0,l,0.4990039989934303,None,0,3,3,0,7.0377680840028916,,7.0293853339971974,7.0377680840028916,8.017865083995275,8.017865083995275,8.034092459012754,8.518794709001668,l,0.4990039989934303,None,003,001,2025-11-06_14h42.45.019,delayed discounting,,2025.1.1,None,2025-11-06 14h42.56.386072 +0530,
9.0,18.0,12.0,4,4,0,l,0.5799979990115389,None,0,4,4,8,8.537754334014608,,8.526385000004666,8.537754334014608,9.516833375004353,9.516833375004353,9.534134250017814,10.102468333992874,l,0.5799979990115389,None,003,001,2025-11-06_14h42.45.019,delayed discounting,,2025.1.1,None,2025-11-06 14h42.56.386072 +0530,
40.0,55.0,62.0,5,5,0,t,0.4828148740052711,None,0,5,5,3,10.121139791997848,,10.112853291997453,10.121139791997848,11.1000410419947,11.1000410419947,11.116952959011542,11.587009625014616,t,0.4828148740052711,None,003,001,2025-11-06_14h42.45.019,delayed discounting,,2025.1.1,None,2025-11-06 14h42.56.386072 +0530,
15.0,35.0,13.0,6,6,0,l,0.5894347499997821,None,0,6,6,1,11.603740499995183,,11.594157292012824,11.603740499995183,12.583308583998587,12.583308583998587,12.600471334008034,13.175605374999577,l,0.5894347499997821,None,003,001,2025-11-06_14h42.45.019,delayed discounting,,2025.1.1,None,2025-11-06 14h42.56.386072 +0530,
50.0,69.0,49.0,7,7,0,t,0.4601033329963684,None,0,7,7,9,13.191225084010512,,13.182513750012731,13.191225084010512,14.174665541999275,14.174665541999275,14.184131292015081,14.637003042007564,t,0.4601033329963684,None,003,001,2025-11-06_14h42.45.019,delayed discounting,,2025.1.1,None,2025-11-06 14h42.56.386072 +0530,
90.0,101.0,190.0,8,8,0,t,0.5524319569813088,None,0,8,8,7,14.653988125006435,,14.64414804201806,14.653988125006435,15.634258209000109,15.634258209000109,15.650772499997402,16.192884042015066,t,0.5524319569813088,None,003,001,2025-11-06_14h42.45.019,delayed discounting,,2025.1.1,None,2025-11-06 14h42.56.386072 +0530,
49.0,60.0,89.0,9,9,0,t,0.46475833299336955,None,0,9,9,4,16.208702083997196,,16.199297084007412,16.208702083997196,17.191872334020445,17.191872334020445,17.21838616702007,17.670236375008244,t,0.46475833299336955,None,003,001,2025-11-06_14h42.45.019,delayed discounting,,2025.1.1,None,2025-11-06 14h42.56.386072 +0530,
49.0,60.0,89.0,10,0,1,t,0.35445766599150375,None,1,0,10,4,17.682353584008524,,17.67067487500026,17.682353584008524,18.66710270900512,18.66710270900512,18.67451270899619,19.025595959014026,t,0.35445766599150375,None,003,001,2025-11-06_14h42.45.019,delayed discounting,,2025.1.1,None,2025-11-06 14h42.56.386072 +0530,
27.0,50.0,21.0,11,1,1,l,0.5118281660252251,None,1,1,11,2,19.04362195901922,,19.032982959004585,19.04362195901922,20.01677362501505,20.01677362501505,20.0406487500004,20.53444045901415,l,0.5118281660252251,None,003,001,2025-11-06_14h42.45.019,delayed discounting,,2025.1.1,None,2025-11-06 14h42.56.386072 +0530,
90.0,101.0,190.0,12,2,1,t,0.5252858330204617,None,1,2,12,7,20.54257095901994,,20.536624542000936,20.54257095901994,21.52521125000203,21.52521125000203,21.534126084006857,22.05314441700466,t,0.5252858330204617,None,003,001,2025-11-06_14h42.45.019,delayed discounting,,2025.1.1,None,2025-11-06 14h42.56.386072 +0530,
