stim01,stim02,stim03,stim04,stim05,stim06,stim07,stim08,stim09,stim10,stim11,stim12,stim13,stim14,stim15,stim16,lag,thisN,thisTrialN,thisRepN,textbox.text,key_resp.keys,key_resp.rt,key_resp.duration,textbox_2.text,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trialsLoop.thisRepN,trialsLoop.thisTrialN,trialsLoop.thisN,trialsLoop.thisIndex,thisRow.t,notes,instructions.started,instrText.started,instr_key.started,instructions.stopped,instr_key.keys,instr_key.rt,instr_key.duration,trial.started,fixation.started,item01.started,fixation.stopped,item01.stopped,item02.started,item02.stopped,item03.started,item03.stopped,item04.started,item04.stopped,item05.started,item05.stopped,item06.started,item06.stopped,item07.started,item07.stopped,item08.started,item08.stopped,item09.started,item09.stopped,item10.started,item10.stopped,item11.started,item11.stopped,item12.started,item12.stopped,item13.started,item13.stopped,item14.started,item14.stopped,item15.started,item15.stopped,item16.started,item16.stopped,trial.stopped,T1_response.started,respInstr.started,t1Prompt.started,textbox.started,key_resp.started,T1_response.stopped,trialsLoop.textbox.text,trialsLoop.key_resp.keys,trialsLoop.key_resp.rt,trialsLoop.key_resp.duration,T2_response.started,resplnstr_2.started,t2Prompt.started,textbox_2.started,key_resp_2.started,T2_response.stopped,trialsLoop.textbox_2.text,trialsLoop.key_resp_2.keys,trialsLoop.key_resp_2.rt,trialsLoop.key_resp_2.duration,end.started,thanks.started,end_key.started,end.stopped,end_key.keys,end_key.rt,end_key.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007014124999841442,0.014980666999690584,0.014980666999690584,25.429861500000698,space,25.193852166001307,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p4,001,2025-11-20_23h45.36.505,experiment trial_1,,2025.1.1,None,2025-11-20 23h45.45.114517 +0530,
W,L,A,X,2.0,6.0,V,E,F,H,V,K,S,J,B,K,1,0,0,0,2,return,2.615988165998715,None,"
7",return,2.36301529100092,None,0,0,0,3,25.46523704200081,,,,,,,,,25.451214875000005,25.46523704200081,25.93250716699913,25.960265207999328,26.176878874999602,26.176878874999602,26.416167208000843,26.42602670800079,26.665783832999296,26.676281083000504,26.91527020799913,26.926943000000392,27.166420625000683,27.175498000000516,27.415844375000233,27.425390207999953,27.665890292000768,27.67682833300023,27.915752458000497,27.926267124999868,28.166059249999307,28.176601667000796,28.415892291999626,28.426040333000856,28.666045250000025,28.67579066699909,28.91587479199916,28.926556166999944,29.166380624999874,29.17544587500015,29.41575958300018,29.42609312499917,29.665834542000084,29.676308207999682,29.916879917000188,29.911000374999276,29.91155529199932,29.937190082999223,29.937190082999223,29.937190082999223,29.937190082999223,32.56058008299988,2,return,2.615988165998715,None,32.560833083000034,32.57313866699951,32.57313866699951,32.57313866699951,32.57313866699951,34.9442756669996,"
7",return,2.36301529100092,None,,,,,,,,p4,001,2025-11-20_23h45.36.505,experiment trial_1,,2025.1.1,None,2025-11-20 23h45.45.114517 +0530,
J,F,V,N,6.0,M,O,9.0,G,N,U,Z,A,V,W,L,3,1,1,0,6,return,1.543799166000099,None,"
9",return,0.8744163320006919,None,0,1,1,7,34.9716262919992,,,,,,,,,34.966356832999736,34.9716262919992,35.43466824999996,35.46502466700076,35.68297441699906,35.68297441699906,35.92697841699919,35.93258745800085,36.177094874999966,36.184241582999675,36.43427991700082,36.43427991700082,36.67732933300067,36.68416916699971,36.93206666699916,36.93206666699916,37.17723804200068,37.18447175000074,37.43322920799983,37.43322920799983,37.67711879200033,37.68430966699998,37.93416295799943,37.93416295799943,38.18200274999981,38.18200274999981,38.42723566700079,38.434484333,38.683456250000745,38.683456250000745,38.92698312500033,38.93330791699918,39.177171125000314,39.18430820799949,39.441446917000576,39.427560707999874,39.42799245800052,39.441446917000576,39.441446917000576,39.441446917000576,39.441446917000576,40.993474082999455,6,return,1.543799166000099,None,40.993729125000755,41.003804707999734,41.003804707999734,41.003804707999734,41.003804707999734,41.883176208000805,"
9",return,0.8744163320006919,None,,,,,,,,p4,001,2025-11-20_23h45.36.505,experiment trial_1,,2025.1.1,None,2025-11-20 23h45.45.114517 +0530,
S,X,D,O,2.0,L,T,F,Z,A,4.0,A,T,G,I,Z,6,2,2,0,2,return,1.2720703329996468,None,"
4",return,1.5212537499992322,None,0,2,2,2,41.9066831250002,,,,,,,,,41.90127016699989,41.9066831250002,42.377269917000376,42.39915291699981,42.614411958000346,42.63231495800028,42.87703637499908,42.87703637499908,43.11601979199986,43.127291208000315,43.36460749999969,43.38408058300047,43.627256750000015,43.627256750000015,43.86474266699952,43.88423545799924,44.126954666999154,44.126954666999154,44.36482054199951,44.38351554200017,44.6270823750001,44.6270823750001,44.865925957999934,44.876982957999644,45.11605816699921,45.12713950000034,45.365032416999384,45.38422762499977,45.63201237499925,45.62707174999923,45.864709416999176,45.88375554199956,46.127614291999635,46.127614291999635,46.3670683750006,46.361210875000324,46.36193620800077,46.38003983300041,46.38003983300041,46.38003983300041,46.38003983300041,47.65940570800012,2,return,1.2720703329996468,None,47.65968000000066,47.66988062500059,47.66988062500059,47.66988062500059,47.66988062500059,49.193465874999674,"
4",return,1.5212537499992322,None,,,,,,,,p4,001,2025-11-20_23h45.36.505,experiment trial_1,,2025.1.1,None,2025-11-20 23h45.45.114517 +0530,
L,Y,C,K,1.0,E,R,V,F,N,8.0,Q,D,U,F,F,6,3,3,0,1,return,1.4476157490007608,None,"
8",return,1.3944986240003345,None,0,3,3,11,49.22006770799999,,,,,,,,,49.21451812499981,49.22006770799999,49.684862374999284,49.715609374999985,49.93406637500084,49.93406637500084,50.17700945800061,50.18324304199996,50.427049874999284,50.434345292000216,50.68361449999975,50.68361449999975,50.92720045799979,50.93360237500019,51.17727316700075,51.183736625000165,51.42720695800017,51.4338777920002,51.677017583000634,51.68262004200005,51.927159999999276,51.93423279200033,52.18507649999992,52.18507649999992,52.433506082999884,52.433506082999884,52.68358141700082,52.68358141700082,52.9334535830003,52.9334535830003,53.1770879579999,53.18332179199933,53.427158874999805,53.43363233300079,53.6932362080006,53.6778772079997,53.6785625829998,53.6932362080006,53.6932362080006,53.6932362080006,53.6932362080006,55.14435904200036,1,return,1.4476157490007608,None,55.14459962500041,55.15444837500036,55.15444837500036,55.15444837500036,55.15444837500036,56.54975087499952,"
8",return,1.3944986240003345,None,,,,,,,,p4,001,2025-11-20_23h45.36.505,experiment trial_1,,2025.1.1,None,2025-11-20 23h45.45.114517 +0530,
S,X,U,X,4.0,8.0,O,W,F,L,H,S,E,U,F,Z,1,4,4,0,4,return,1.7958968319999258,None,"
9",return,1.4821092909987783,None,0,4,4,0,56.57018241699916,,,,,,,,,56.564642167000784,56.57018241699916,57.042858999999225,57.066108499999245,57.281339708000814,57.30111812500036,57.54941449999933,57.543824917000165,57.78143962499962,57.800583083000674,58.043872832999114,58.043872832999114,58.28252845799943,58.29370333299994,58.531291082999815,58.550386375000016,58.7938072500001,58.7938072500001,59.032017416999224,59.05012133300079,59.29387445800057,59.29387445800057,59.53187929200067,59.55012354199971,59.79369716700057,59.79369716700057,60.03273191699918,60.0437238329996,60.282757708000645,60.293911624999964,60.53133570799946,60.55039341699921,60.793828042000314,60.793828042000314,61.03308020800068,61.02769350000017,61.02824295800019,61.04652920800072,61.04652920800072,61.04652920800072,61.04652920800072,62.844260249999934,4,return,1.7958968319999258,None,62.84455041699948,62.85530070799905,62.85530070799905,62.85530070799905,62.85530070799905,64.3432668330006,"
9",return,1.4821092909987783,None,,,,,,,,p4,001,2025-11-20_23h45.36.505,experiment trial_1,,2025.1.1,None,2025-11-20 23h45.45.114517 +0530,
C,G,T,Q,5.0,S,O,W,P,S,3.0,Y,N,O,Q,O,6,5,5,0,5,return,1.942518415999075,None,"
3",return,1.2660499160010659,None,0,5,5,5,64.36697341699983,,,,,,,,,64.36161920800077,64.36697341699983,64.83485437499985,64.86602337499971,65.08448979199966,65.08448979199966,65.33411245800016,65.33411245800016,65.58415925000008,65.58415925000008,65.82729345799999,65.83492970800035,66.08276133300024,66.08276133300024,66.32709283300028,66.33285141700071,66.58295654200083,66.58295654200083,66.82726704199922,66.8343682499999,67.07736549999936,67.084639875,67.33431333299995,67.33431333299995,67.57722937499966,67.58420241699969,67.82738537499972,67.83446520799953,68.08363966700017,68.08363966700017,68.32717616700029,68.33389366700067,68.58331550000003,68.58331550000003,68.82716791699931,68.81699966700035,68.81741599999987,68.84229400000004,68.84229400000004,68.84229400000004,68.84229400000004,70.79422133300068,5,return,1.942518415999075,None,70.79446987499978,70.80477933300062,70.80477933300062,70.80477933300062,70.80477933300062,72.07693012500022,"
3",return,1.2660499160010659,None,,,,,,,,p4,001,2025-11-20_23h45.36.505,experiment trial_1,,2025.1.1,None,2025-11-20 23h45.45.114517 +0530,
N,P,Q,E,2.0,T,T,B,H,M,7.0,N,F,Y,P,Y,6,6,6,0,2,return,2.254122832999201,None,"
7",return,0.8599435410014848,None,0,6,6,8,72.10070062500017,,,,,,,,,72.09560108299956,72.10070062500017,72.56811783299963,72.59943762500006,72.81794620800065,72.81794620800065,73.06772679200003,73.06772679200003,73.31806304199927,73.31806304199927,73.56743816699964,73.56743816699964,73.81052483299936,73.81756712499919,74.06780237500061,74.06780237500061,74.31773199999952,74.31773199999952,74.56064987500031,74.56739050000033,74.81051950000074,74.8173983329998,75.06805237499975,75.06805237499975,75.31064416700065,75.31717687499986,75.56630270799906,75.56630270799906,75.81049612499919,75.81689700000061,76.06076412500079,76.06789799999933,76.31062650000058,76.31652895799925,76.56067304200042,76.55058691699924,76.550988125,76.57599183300044,76.57599183300044,76.57599183300044,76.57599183300044,78.83364495800015,2,return,2.254122832999201,None,78.83388575000026,78.85998499999914,78.85998499999914,78.85998499999914,78.85998499999914,79.72752333300014,"
7",return,0.8599435410014848,None,,,,,,,,p4,001,2025-11-20_23h45.36.505,experiment trial_1,,2025.1.1,None,2025-11-20 23h45.45.114517 +0530,
P,Q,Q,K,9.0,C,T,8.0,L,R,P,S,R,T,S,D,3,7,7,0,9,return,1.211464915999386,None,"
9",return,0.554901040999539,None,0,7,7,10,79.74747274999936,,,,,,,,,79.74244637499942,79.74747274999936,80.21718712499933,80.24389454199991,80.46679112499987,80.46679112499987,80.71037066700046,80.71610054200028,80.96080666700072,80.9674432920001,81.21067566700003,81.21739533300024,81.46068195800035,81.46758924999995,81.71711725000023,81.71711725000023,81.96051329200054,81.9681626670008,82.21797604200037,82.21797604200037,82.46695737499977,82.46695737499977,82.71059550000064,82.71705304200077,82.96783137499915,82.96783137499915,83.21739337500003,83.21739337500003,83.4670162500006,83.4670162500006,83.71053170800042,83.71716212499996,83.96085387499988,83.96768566699939,84.2106579579995,84.20070762499927,84.20111462500063,84.22547320800004,84.22547320800004,84.22547320800004,84.22547320800004,85.44353133299956,9,return,1.211464915999386,None,85.44381649999923,85.45408729200062,85.45408729200062,85.45408729200062,85.45408729200062,86.01027991699993,"
9",return,0.554901040999539,None,,,,,,,,p4,001,2025-11-20_23h45.36.505,experiment trial_1,,2025.1.1,None,2025-11-20 23h45.45.114517 +0530,
O,E,D,F,2.0,S,G,3.0,Z,I,F,X,H,S,J,H,3,8,8,0,2,return,1.265187082999546,None,"
3",return,0.8842953740004305,None,0,8,8,1,86.03337666699917,,,,,,,,,86.0279192500002,86.03337666699917,86.50150508300067,86.52737970800081,86.75137200000063,86.75137200000063,86.99415733299975,87.00142224999945,87.25020920799943,87.25020920799943,87.49404908299948,87.50026608299959,87.7503429999997,87.7503429999997,87.99406841699965,88.0009144579999,88.24405791699974,88.25147995800035,88.50100774999919,88.50100774999919,88.74404033300016,88.75109629200051,88.99404920800043,89.00139133300036,89.25014545799968,89.25014545799968,89.49397087500074,89.5009423749998,89.74387291700077,89.74992362500052,89.99383766699975,89.9999576249993,90.24408937500084,90.25763625000036,90.5087962079997,90.49441633300012,90.49499529199966,90.5087962079997,90.5087962079997,90.5087962079997,90.5087962079997,91.77764274999936,2,return,1.265187082999546,None,91.77789029199994,91.78863733300022,91.78863733300022,91.78863733300022,91.78863733300022,92.67764054200052,"
3",return,0.8842953740004305,None,,,,,,,,p4,001,2025-11-20_23h45.36.505,experiment trial_1,,2025.1.1,None,2025-11-20 23h45.45.114517 +0530,
