stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
75,0.5,4.5,75.32842387500568,,75.32084220901015,75.32842387500568,75.8188333750004,75.8188333750004,75.82296291700914,76.10590437501378,76.37046479200944,right,4.5,1,1,0.5414803739986382,769539,001,2025-09-04_09h28.35.174,bhakti_apdaptive staircase,,2025.1.1,None,2025-09-04 09h28.38.310489 +0530,
76,0.5,4.5,76.37860675000411,,76.37081541700172,76.37860675000411,76.86880254201242,76.86880254201242,76.87263654200069,77.15553712499968,77.37128379200294,left,-4.5,1,1,0.493338833010057,769539,001,2025-09-04_09h28.35.174,bhakti_apdaptive staircase,,2025.1.1,None,2025-09-04 09h28.38.310489 +0530,
77,0.5,4.0,77.37961212500522,,77.37176283400913,77.37961212500522,77.86915795900859,77.86915795900859,77.87278091700864,78.1559793750057,78.3039758750092,left,-4.0,1,1,0.4290875829901779,769539,001,2025-09-04_09h28.35.174,bhakti_apdaptive staircase,,2025.1.1,None,2025-09-04 09h28.38.310489 +0530,
78,0.5,4.0,78.31237058401166,,78.30438045901246,78.31237058401166,78.80232487501053,78.80232487501053,78.80651712500548,79.08857108400844,79.25379895900551,right,4.0,0,0,0.43764045799616724,769539,001,2025-09-04_09h28.35.174,bhakti_apdaptive staircase,,2025.1.1,None,2025-09-04 09h28.38.310489 +0530,
79,0.5,4.5,79.26151391700841,,79.25415429200802,79.26151391700841,79.75216116700904,79.75216116700904,79.75670145900222,80.03998883400345,80.18746287500835,right,4.5,1,1,0.43108879099600017,769539,001,2025-09-04_09h28.35.174,bhakti_apdaptive staircase,,2025.1.1,None,2025-09-04 09h28.38.310489 +0530,
80,0.5,4.5,80.19584491700516,,80.18791812501149,80.19584491700516,80.68534733400156,80.68534733400156,80.68885979200422,80.97316983400378,81.05376537500706,left,-4.5,1,1,0.3638136670051608,769539,001,2025-09-04_09h28.35.174,bhakti_apdaptive staircase,,2025.1.1,None,2025-09-04 09h28.38.310489 +0530,
81,0.5,4.5,81.06169245899946,,81.05411708400061,81.06169245899946,81.55212250001205,81.55212250001205,81.5564277920057,81.83897762501147,82.03700504200242,left,-4.5,1,1,0.4709154989977833,769539,001,2025-09-04_09h28.35.174,bhakti_apdaptive staircase,,2025.1.1,None,2025-09-04 09h28.38.310489 +0530,
82,0.5,4.0,82.04497295900364,,82.03733112500049,82.04497295900364,82.53564045901294,82.53564045901294,82.5400073750061,82.82265329200891,82.95792325001094,left,-4.0,1,1,0.4204355830006534,769539,001,2025-09-04_09h28.35.174,bhakti_apdaptive staircase,,2025.1.1,None,2025-09-04 09h28.38.310489 +0530,
83,0.5,4.0,82.96888087500702,,82.95818354201037,82.96888087500702,83.45702225000423,83.45702225000423,83.45702225000423,83.75214808400779,83.87096570900758,left,-4.0,1,1,0.4061460420052754,769539,001,2025-09-04_09h28.35.174,bhakti_apdaptive staircase,,2025.1.1,None,2025-09-04 09h28.38.310489 +0530,
84,0.5,4.0,83.87906908401055,,83.87134966700978,83.87906908401055,84.3690067500138,84.3690067500138,84.37360412500857,84.65518254200288,84.72059179200733,left,-4.0,1,1,0.3398944579967065,769539,001,2025-09-04_09h28.35.174,bhakti_apdaptive staircase,,2025.1.1,None,2025-09-04 09h28.38.310489 +0530,
85,0.5,3.5,84.72854512500635,,84.72097029200813,84.72854512500635,85.21893541701138,85.21893541701138,85.22377375001088,85.50561508401006,85.58987512500607,left,-3.5,0,0,0.368027999997139,769539,001,2025-09-04_09h28.35.174,bhakti_apdaptive staircase,,2025.1.1,None,2025-09-04 09h28.38.310489 +0530,
86,0.5,4.0,85.60233029200754,,85.590147875002,85.60233029200754,86.08550291700521,86.08550291700521,86.08924966701306,,86.32095741700323,right,4.0,0,0,0.23251570800493937,769539,001,2025-09-04_09h28.35.174,bhakti_apdaptive staircase,,2025.1.1,None,2025-09-04 09h28.38.310489 +0530,
87,0.5,4.5,86.32935091700347,,86.32141533400863,86.32935091700347,86.81888387500658,86.81888387500658,86.82300162500178,87.1055070420116,87.57046200000332,left,-4.5,1,1,0.7421849989914335,769539,001,2025-09-04_09h28.35.174,bhakti_apdaptive staircase,,2025.1.1,None,2025-09-04 09h28.38.310489 +0530,
88,0.5,4.5,87.57867191701371,,87.57084737501282,87.57867191701371,88.06904129200848,88.06904129200848,88.07380220900814,88.35566695900343,88.42106291701202,left,-4.5,1,1,0.34294729099201504,769539,001,2025-09-04_09h28.35.174,bhakti_apdaptive staircase,,2025.1.1,None,2025-09-04 09h28.38.310489 +0530,
89,0.5,4.5,88.42924950001179,,88.42152370901022,88.42924950001179,88.91877745901002,88.91877745901002,88.9221284170053,89.20547633401293,89.25368429200898,left,-4.5,1,1,0.33310904099198524,769539,001,2025-09-04_09h28.35.174,bhakti_apdaptive staircase,,2025.1.1,None,2025-09-04 09h28.38.310489 +0530,
90,0.5,4.0,89.26076612500765,,89.25392558400927,89.26076612500765,89.75227787501353,89.75227787501353,89.75662604201352,90.0388124170131,90.13727758401365,left,-4.0,1,1,0.37257245799992234,769539,001,2025-09-04_09h28.35.174,bhakti_apdaptive staircase,,2025.1.1,None,2025-09-04 09h28.38.310489 +0530,
91,0.5,4.0,90.14546916700783,,90.13769225000578,90.14546916700783,90.63547425001161,90.63547425001161,90.63913270900957,90.92231454201101,91.0868604999996,left,-4.0,1,1,0.44752266599971335,769539,001,2025-09-04_09h28.35.174,bhakti_apdaptive staircase,,2025.1.1,None,2025-09-04 09h28.38.310489 +0530,
92,0.5,4.0,91.09485316700011,,91.08715041700634,91.09485316700011,91.58546058399952,91.58546058399952,91.58903304200794,91.87204470900178,92.00672241700522,right,4.0,0,0,0.41743899999710266,769539,001,2025-09-04_09h28.35.174,bhakti_apdaptive staircase,,2025.1.1,None,2025-09-04 09h28.38.310489 +0530,
93,0.5,4.5,92.01893358401139,,92.0069925840071,92.01893358401139,92.50670887500746,92.50670887500746,92.50670887500746,92.80221025001083,93.08683429200028,right,4.5,1,1,0.5732146660011495,769539,001,2025-09-04_09h28.35.174,bhakti_apdaptive staircase,,2025.1.1,None,2025-09-04 09h28.38.310489 +0530,
94,0.5,4.5,93.09459037501074,,93.08711225001025,93.09459037501074,93.58571237500291,93.58571237500291,93.59048179200909,93.8728301670053,93.97050500000478,left,-4.5,0,0,0.38108974999340717,769539,001,2025-09-04_09h28.35.174,bhakti_apdaptive staircase,,2025.1.1,None,2025-09-04 09h28.38.310489 +0530,
95,0.5,5.0,93.97913287499978,,93.97089754200715,93.97913287499978,94.46884479200526,94.46884479200526,94.47265795900603,94.75593004201073,94.9540957499994,right,5.0,1,1,0.4769526250020135,769539,001,2025-09-04_09h28.35.174,bhakti_apdaptive staircase,,2025.1.1,None,2025-09-04 09h28.38.310489 +0530,
96,0.5,5.0,94.96239162501297,,94.95453700001235,94.96239162501297,95.45212412500405,95.45212412500405,95.45529708400136,95.73963404200913,96.00350200000685,left,-5.0,1,1,0.546802208002191,769539,001,2025-09-04_09h28.35.174,bhakti_apdaptive staircase,,2025.1.1,None,2025-09-04 09h28.38.310489 +0530,
97,0.5,5.0,96.01117687500664,,96.00378208400798,96.01117687500664,96.50227254201309,96.50227254201309,96.50600875000237,96.78881000001275,97.03739483401296,left,-5.0,1,1,0.5254928329959512,769539,001,2025-09-04_09h28.35.174,bhakti_apdaptive staircase,,2025.1.1,None,2025-09-04 09h28.38.310489 +0530,
98,0.5,4.5,97.04566800000612,,97.03781945900118,97.04566800000612,97.53555004201189,97.53555004201189,97.53881245900993,97.82341666700086,98.10724937501072,left,-4.5,1,1,0.5672624169965275,769539,001,2025-09-04_09h28.35.174,bhakti_apdaptive staircase,,2025.1.1,None,2025-09-04 09h28.38.310489 +0530,
99,0.5,4.5,98.11886154201056,,98.10750987500069,98.11886154201056,98.60222733400587,98.60222733400587,98.60739437500888,98.88993045900133,99.0867986670055,right,4.5,1,1,0.4805535830091685,769539,001,2025-09-04_09h28.35.174,bhakti_apdaptive staircase,,2025.1.1,None,2025-09-04 09h28.38.310489 +0530,
