reward_today,future_reward,delay,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
40.0,55.0,62.0,0,0,0,t,7.0008739570039324,None,0,0,0,3,0.049212083977181464,,0.04114791698521003,0.049212083977181464,1.010838916990906,1.010838916990906,1.0499808339809533,8.396464791992912,t,7.0008739570039324,None,001,001,2025-11-06_14h29.24.196,delayed discounting,,2025.1.1,119.94254751512639,2025-11-06 14h29.32.067448 +0530,
27.0,50.0,21.0,1,1,0,l,2.638838790997397,None,0,1,1,2,8.41414579199045,,8.39922233397374,8.41414579199045,9.394776624976657,9.394776624976657,9.411058374971617,12.03652220897493,l,2.638838790997397,None,001,001,2025-11-06_14h29.24.196,delayed discounting,,2025.1.1,119.94254751512639,2025-11-06 14h29.32.067448 +0530,
50.0,69.0,49.0,2,2,0,l,1.298973124998156,None,0,2,2,9,12.058311333996244,,12.047099499992328,12.058311333996244,13.035487083980115,13.035487083980115,13.051808708987664,14.33623066698783,l,1.298973124998156,None,001,001,2025-11-06_14h29.24.196,delayed discounting,,2025.1.1,119.94254751512639,2025-11-06 14h29.32.067448 +0530,
9.0,18.0,12.0,3,3,0,l,1.669766374019673,None,0,3,3,8,14.353940874978434,,14.345855708990712,14.353940874978434,15.33471766699222,15.33471766699222,15.350620083976537,17.012909458979266,l,1.669766374019673,None,001,001,2025-11-06_14h29.24.196,delayed discounting,,2025.1.1,119.94254751512639,2025-11-06 14h29.32.067448 +0530,
15.0,35.0,13.0,4,4,0,l,0.7291103750176262,None,0,4,4,1,17.030156416993123,,17.02249774997472,17.030156416993123,18.012407583999448,18.012407583999448,18.04574474997935,18.747447208996164,l,0.7291103750176262,None,001,001,2025-11-06_14h29.24.196,delayed discounting,,2025.1.1,119.94254751512639,2025-11-06 14h29.32.067448 +0530,
11.0,30.0,7.0,5,5,0,l,1.2866080410021823,None,0,5,5,0,18.7646948749898,,18.754578458989272,18.7646948749898,19.743760166980792,19.743760166980792,19.76153333397815,21.036287625000114,l,1.2866080410021823,None,001,001,2025-11-06_14h29.24.196,delayed discounting,,2025.1.1,119.94254751512639,2025-11-06 14h29.32.067448 +0530,
78.0,80.0,162.0,6,6,0,t,0.7767942080099601,None,0,6,6,6,21.05236399997375,,21.04388487499091,21.05236399997375,22.034582291991683,22.034582291991683,22.051367999985814,22.813066749979043,t,0.7767942080099601,None,001,001,2025-11-06_14h29.24.196,delayed discounting,,2025.1.1,119.94254751512639,2025-11-06 14h29.32.067448 +0530,
67.0,75.0,119.0,7,7,0,t,0.5626605410070624,None,0,7,7,5,22.82928587499191,,22.819869041995844,22.82928587499191,23.8105894170003,23.8105894170003,23.82739620897337,24.379631916992366,t,0.5626605410070624,None,001,001,2025-11-06_14h29.24.196,delayed discounting,,2025.1.1,119.94254751512639,2025-11-06 14h29.32.067448 +0530,
90.0,101.0,190.0,8,8,0,t,0.7259558330115397,None,0,8,8,7,24.411872041993774,,24.38660204198095,24.411872041993774,25.377349833986955,25.377349833986955,25.401958583999658,26.11305541699403,t,0.7259558330115397,None,001,001,2025-11-06_14h29.24.196,delayed discounting,,2025.1.1,119.94254751512639,2025-11-06 14h29.32.067448 +0530,
49.0,60.0,89.0,9,9,0,t,0.96272683198913,None,0,9,9,4,26.12838824998471,,26.12024545899476,26.12838824998471,27.110563041991554,27.110563041991554,27.127947791974293,28.079361291980604,t,0.96272683198913,None,001,001,2025-11-06_14h29.24.196,delayed discounting,,2025.1.1,119.94254751512639,2025-11-06 14h29.32.067448 +0530,
27.0,50.0,21.0,10,0,1,l,0.4987292069999967,None,1,0,10,2,28.094868416985264,,28.08622333398671,28.094868416985264,29.078525416989578,29.078525416989578,29.084566874982556,29.5797354169772,l,0.4987292069999967,None,001,001,2025-11-06_14h29.24.196,delayed discounting,,2025.1.1,119.94254751512639,2025-11-06 14h29.32.067448 +0530,
67.0,75.0,119.0,11,1,1,t,0.6085007910151035,None,1,1,11,5,29.595628166978713,,29.586599874979584,29.595628166978713,30.57759599998826,30.57759599998826,30.594322624994675,31.1961833749956,t,0.6085007910151035,None,001,001,2025-11-06_14h29.24.196,delayed discounting,,2025.1.1,119.94254751512639,2025-11-06 14h29.32.067448 +0530,
90.0,101.0,190.0,12,2,1,t,4.636795750004239,None,1,2,12,7,31.212373124988517,,31.203537666995544,31.212373124988517,32.19467770899064,32.19467770899064,32.21125229197787,36.83617695898283,t,4.636795750004239,None,001,001,2025-11-06_14h29.24.196,delayed discounting,,2025.1.1,119.94254751512639,2025-11-06 14h29.32.067448 +0530,
9.0,18.0,12.0,13,3,1,l,0.7977415409986861,None,1,3,13,8,36.851829291990725,,36.84294270898681,36.851829291990725,37.82734249997884,37.82734249997884,37.84428766698693,38.62932995898882,l,0.7977415409986861,None,001,001,2025-11-06_14h29.24.196,delayed discounting,,2025.1.1,119.94254751512639,2025-11-06 14h29.32.067448 +0530,
78.0,80.0,162.0,14,4,1,t,0.8129696660034824,None,1,4,14,6,38.647261166974204,,38.638216208986705,38.647261166974204,39.627118708973285,39.627118708973285,39.64407274997211,40.44608362499275,t,0.8129696660034824,None,001,001,2025-11-06_14h29.24.196,delayed discounting,,2025.1.1,119.94254751512639,2025-11-06 14h29.32.067448 +0530,
49.0,60.0,89.0,15,5,1,l,3.187915749003878,None,1,5,15,4,40.46142766697449,,40.45261999999639,40.46142766697449,41.44402841699775,41.44402841699775,41.45089112498681,44.63715795899043,l,3.187915749003878,None,001,001,2025-11-06_14h29.24.196,delayed discounting,,2025.1.1,119.94254751512639,2025-11-06 14h29.32.067448 +0530,
50.0,69.0,49.0,16,6,1,t,1.7908930820121896,None,1,6,16,9,44.65611720897141,,44.645170749980025,44.65611720897141,45.64557516700006,45.64557516700006,45.652096916979644,47.44612095897901,t,1.7908930820121896,None,001,001,2025-11-06_14h29.24.196,delayed discounting,,2025.1.1,119.94254751512639,2025-11-06 14h29.32.067448 +0530,
15.0,35.0,13.0,17,7,1,l,1.4583995830034837,None,1,7,17,1,47.4627256669919,,47.452931666979566,47.4627256669919,48.44392724998761,48.44392724998761,48.46107312498498,49.91220316698309,l,1.4583995830034837,None,001,001,2025-11-06_14h29.24.196,delayed discounting,,2025.1.1,119.94254751512639,2025-11-06 14h29.32.067448 +0530,
40.0,55.0,62.0,18,8,1,l,1.7817528749874327,None,1,8,18,3,49.92811804197845,,49.91886049997993,49.92811804197845,50.90252499998314,50.90252499998314,50.91782962498837,52.68548779198318,l,1.7817528749874327,None,001,001,2025-11-06_14h29.24.196,delayed discounting,,2025.1.1,119.94254751512639,2025-11-06 14h29.32.067448 +0530,
11.0,30.0,7.0,19,9,1,l,1.309831206977833,None,1,9,19,0,52.7014872499858,,52.69306499999948,52.7014872499858,53.677366041985806,53.677366041985806,53.694730999995954,54.996222666988615,l,1.309831206977833,None,001,001,2025-11-06_14h29.24.196,delayed discounting,,2025.1.1,119.94254751512639,2025-11-06 14h29.32.067448 +0530,
67.0,75.0,119.0,20,0,2,t,1.815205999999307,None,2,0,20,5,55.01197983397287,,55.003088541998295,55.01197983397287,55.9939105839876,55.9939105839876,56.0115037499927,57.81283116698614,t,1.815205999999307,None,001,001,2025-11-06_14h29.24.196,delayed discounting,,2025.1.1,119.94254751512639,2025-11-06 14h29.32.067448 +0530,
50.0,69.0,49.0,21,1,2,l,3.276754416001495,None,2,1,21,9,57.82980095897801,,57.81969949998893,57.82980095897801,58.81061754198163,58.81061754198163,58.82775770899025,62.09646795899607,l,3.276754416001495,None,001,001,2025-11-06_14h29.24.196,delayed discounting,,2025.1.1,119.94254751512639,2025-11-06 14h29.32.067448 +0530,
27.0,50.0,21.0,22,2,2,l,2.199052790994756,None,2,2,22,2,62.11281570899882,,62.10350754199317,62.11281570899882,63.09399308398133,63.09399308398133,63.11167508398648,65.29655745899072,l,2.199052790994756,None,001,001,2025-11-06_14h29.24.196,delayed discounting,,2025.1.1,119.94254751512639,2025-11-06 14h29.32.067448 +0530,
78.0,80.0,162.0,23,3,2,t,2.580722540995339,None,2,3,23,6,65.3138269589981,,65.30395658398629,65.3138269589981,66.29416845898959,66.29416845898959,66.3109248339897,68.878953833977,t,2.580722540995339,None,001,001,2025-11-06_14h29.24.196,delayed discounting,,2025.1.1,119.94254751512639,2025-11-06 14h29.32.067448 +0530,
