delay,freq,condition,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,textbox.text,button.numClicks,button.timesOn,button.timesOff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,polygon.started,polygon_2.started,key_resp.started,polygon.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,beep.started,sound_1.started,sound_1.stopped,beep.stopped,response.started,text.started,textbox.started,button.started,response.stopped,trials.textbox.text,trials.button.numClicks,trials.button.timesOn,trials.button.timesOff,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0.7,1000.0,exp,0,0,0,space,3.8086849990068004,None,400,1,[3.0979282499756664],[3.097934167017229],0,0,0,11,0.05180995899718255,,0.03779175004456192,0.05180995899718255,0.9993275420274585,0.9993275420274585,1.0496930840308778,4.813521625008434,space,3.8086849990068004,None,4.815528292034287,5.51858683367415,5.841278875013813,5.806856000039261,5.809469792002346,5.841278875013813,5.841278875013813,5.841278875013813,8.93954895902425,400,1,[3.0979282499756664],[3.097934167017229],p001,001,2025-11-12_10h35.26.886,intentional binding,,2025.1.1,None,2025-11-12 10h35.36.129666 +0530,
0.1,400.0,unexp,1,1,0,space,1.4553040830069222,None,200,1,[6.2277681669802405],[6.227773167018313],0,1,1,0,8.944190292037092,,8.939826959045604,8.944190292037092,9.935568042041268,9.935568042041268,9.935568042041268,11.397470250027254,space,1.4553040830069222,None,11.399895334034227,11.500222666716825,11.808120667003095,11.789344917051494,11.790867209027056,11.808120667003095,11.808120667003095,11.808120667003095,18.036190709040966,200,1,[6.2277681669802405],[6.227773167018313],p001,001,2025-11-12_10h35.26.886,intentional binding,,2025.1.1,None,2025-11-12 10h35.36.129666 +0530,
0.4,1000.0,exp,2,2,0,space,0.9293776249978691,None,100,1,[4.159695166978054],[4.159701416967437],0,2,2,10,18.044149750028737,,18.036422667035367,18.044149750028737,19.028190084034577,19.028190084034577,19.035061792004853,19.963637584005482,space,0.9293776249978691,None,19.965395000006538,20.36800587567656,20.67586704203859,20.65532575000543,20.65664291701978,20.67586704203859,20.67586704203859,20.67586704203859,24.835873167030513,100,1,[4.159695166978054],[4.159701416967437],p001,001,2025-11-12_10h35.26.886,intentional binding,,2025.1.1,None,2025-11-12 10h35.36.129666 +0530,
0.1,1000.0,exp,3,3,0,space,0.9365129999932833,None,300,1,[2.180223333009053],[2.1802282499847934],0,3,3,9,24.844052000029478,,24.836063834023662,24.844052000029478,25.834991750016343,25.834991750016343,25.834991750016343,26.78056754200952,space,0.9365129999932833,None,26.782190750003792,26.884867458666363,27.205567667027935,27.184519166999962,27.18666695902357,27.205567667027935,27.205567667027935,27.205567667027935,29.386100459028967,300,1,[2.180223333009053],[2.1802282499847934],p001,001,2025-11-12_10h35.26.886,intentional binding,,2025.1.1,None,2025-11-12 10h35.36.129666 +0530,
0.7,1000.0,exp,4,4,0,space,0.7262506660190411,None,300,1,[2.958730458980426],[2.958735166990664],0,4,4,8,29.394000209053047,,29.386323042039294,29.394000209053047,30.396505417011213,30.396505417011213,30.412979209038895,31.13068620901322,space,0.7262506660190411,None,31.132999084016774,31.83473362570318,32.14361225004541,32.122995542013086,32.12479404202895,32.14361225004541,32.14361225004541,32.14361225004541,35.102627625048626,300,1,[2.958730458980426],[2.958735166990664],p001,001,2025-11-12_10h35.26.886,intentional binding,,2025.1.1,None,2025-11-12 10h35.36.129666 +0530,
0.7,400.0,unexp,5,5,0,space,1.3862726659863256,None,700,1,[2.7490420829853974],[2.7490474159712903],0,5,5,2,35.110726417042315,,35.10287387500284,35.110726417042315,36.09493433404714,36.09493433404714,36.10136870900169,37.48708258400438,space,1.3862726659863256,None,37.488819667021744,38.19554183370589,38.50316370901419,38.4826794170076,38.48442029202124,38.50316370901419,38.50316370901419,38.50316370901419,41.252526250027586,700,1,[2.7490420829853974],[2.7490474159712903],p001,001,2025-11-12_10h35.26.886,intentional binding,,2025.1.1,None,2025-11-12 10h35.36.129666 +0530,
0.4,1000.0,exp,6,6,0,space,1.0743886660202406,None,400,1,[2.551221124944277],[2.5512252079788595],0,6,6,4,41.26071962504648,,41.25275737501215,41.26071962504648,42.24466241704067,42.24466241704067,42.25226170901442,43.32084304204909,space,1.0743886660202406,None,43.322620667051524,43.72806045867425,44.03556445904542,44.0164155420498,44.017912375042215,44.03556445904542,44.03556445904542,44.03556445904542,46.58706108405022,400,1,[2.551221124944277],[2.5512252079788595],p001,001,2025-11-12_10h35.26.886,intentional binding,,2025.1.1,None,2025-11-12 10h35.36.129666 +0530,
0.4,1000.0,exp,7,7,0,space,0.6970870830118656,None,200,1,[2.0855591659783386],[2.085563500004355],0,7,7,7,46.59509754204191,,46.587283583998214,46.59509754204191,47.58587495901156,47.58587495901156,47.58587495901156,48.28754741704324,space,0.6970870830118656,None,48.289113709004596,48.69554016669669,49.00062758399872,48.9830051670433,48.984461792046204,49.00062758399872,49.00062758399872,49.00062758399872,51.08646512503037,200,1,[2.0855591659783386],[2.085563500004355],p001,001,2025-11-12_10h35.26.886,intentional binding,,2025.1.1,None,2025-11-12 10h35.36.129666 +0530,
0.1,1000.0,exp,8,8,0,space,0.913899791019503,None,300,1,[2.5600485840113834],[2.5600536669953726],0,8,8,3,51.09435691701947,,51.086655125021935,51.09435691701947,52.07802587503102,52.07802587503102,52.086709499999415,52.99641725001857,space,0.913899791019503,None,52.997835125017446,53.10117266670956,53.40914158400847,53.388962709053885,53.390261792053934,53.40914158400847,53.40914158400847,53.40914158400847,55.969501750019845,300,1,[2.5600485840113834],[2.5600536669953726],p001,001,2025-11-12_10h35.26.886,intentional binding,,2025.1.1,None,2025-11-12 10h35.36.129666 +0530,
0.1,1000.0,exp,9,9,0,space,0.28860254102619365,None,100,1,[2.1836248749750666],[2.18362949998118],0,9,9,6,55.97767654201016,,55.96973687503487,55.97767654201016,56.96118583402131,56.96118583402131,56.96836333401734,57.254706375009846,space,0.28860254102619365,None,57.256908959010616,57.361451166685825,57.66874837502837,57.64933154202299,57.65069300000323,57.66874837502837,57.66874837502837,57.66874837502837,59.85269833402708,100,1,[2.1836248749750666],[2.18362949998118],p001,001,2025-11-12_10h35.26.886,intentional binding,,2025.1.1,None,2025-11-12 10h35.36.129666 +0530,
0.7,1000.0,exp,10,10,0,space,2.0227960830088705,None,200,1,[4.101046374998987],[4.101051624980755],0,10,10,5,59.86101537500508,,59.852906625019386,59.86101537500508,60.84483245899901,60.84483245899901,60.851765584026,62.870665916998405,space,2.0227960830088705,None,62.87312608404318,63.57822075067476,63.88506266701734,63.86564570904011,63.86760816699825,63.88506266701734,63.88506266701734,63.88506266701734,67.98639504204039,200,1,[4.101046374998987],[4.101051624980755],p001,001,2025-11-12_10h35.26.886,intentional binding,,2025.1.1,None,2025-11-12 10h35.36.129666 +0530,
