pos,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials_2.key_resp.keys,trials_2.key_resp.corr,trials_2.key_resp.rt,trials_2.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
-50,x,0,0,0,x,1,0.3508209999999963,None,0,0,0,0,,,,,0.02464608399895951,,0.01762304200383369,0.02464608399895951,1.0040943750063889,1.0040943750063889,1.0040943750063889,1.0040943750063889,1.0231548750016373,1.991078709004796,1.991078709004796,2.539438334002625,x,1,0.3508209999999963,None,,,,,5,001,2025-10-02_18h28.59.078,motor sequence learning,,2025.1.1,None,2025-10-02 18h29.26.803622 +0530,
150,v,1,1,0,v,1,0.28451945800043177,None,0,1,1,1,,,,,2.549142125004437,,2.539720500004478,2.549142125004437,3.5327938749978784,3.5327938749978784,3.5327938749978784,3.5327938749978784,3.540507500001695,4.532911458998569,4.532911458998569,4.818853709002724,v,1,0.28451945800043177,None,,,,,5,001,2025-10-02_18h28.59.078,motor sequence learning,,2025.1.1,None,2025-10-02 18h29.26.803622 +0530,
50,c,2,2,0,c,1,0.2772512499941513,None,0,2,2,2,,,,,4.826813084000605,,4.819361125002615,4.826813084000605,5.817721166997217,5.817721166997217,5.817721166997217,5.817721166997217,5.826037209000788,6.816080584001611,6.816080584001611,7.102172291997704,c,1,0.2772512499941513,None,,,,,5,001,2025-10-02_18h28.59.078,motor sequence learning,,2025.1.1,None,2025-10-02 18h29.26.803622 +0530,
-150,z,3,3,0,z,1,0.2719592079956783,None,0,3,3,3,,,,,7.111054875000264,,7.102594750002027,7.111054875000264,8.099494709007558,8.099494709007558,8.099494709007558,8.099494709007558,8.10709608400066,9.099362042004941,9.099362042004941,9.375678625001456,z,1,0.2719592079956783,None,,,,,5,001,2025-10-02_18h28.59.078,motor sequence learning,,2025.1.1,None,2025-10-02 18h29.26.803622 +0530,
-50,x,4,0,1,x,1,0.3980984170048032,None,1,0,4,0,,,,,9.401296958996681,,9.376097959000617,9.401296958996681,10.376730042000418,10.376730042000418,10.376730042000418,10.376730042000418,10.391590166997048,11.375059958998463,11.375059958998463,11.77596587500011,x,1,0.3980984170048032,None,,,,,5,001,2025-10-02_18h28.59.078,motor sequence learning,,2025.1.1,None,2025-10-02 18h29.26.803622 +0530,
150,v,5,1,1,v,1,0.3463862490025349,None,1,1,5,1,,,,,11.785077542008366,,11.77637908399629,11.785077542008366,12.776285291998647,12.776285291998647,12.776285291998647,12.776285291998647,12.776285291998647,13.774829999994836,13.774829999994836,14.123758083995199,v,1,0.3463862490025349,None,,,,,5,001,2025-10-02_18h28.59.078,motor sequence learning,,2025.1.1,None,2025-10-02 18h29.26.803622 +0530,
50,c,6,2,1,c,1,0.24308354199456517,None,1,2,6,2,,,,,14.133070291994954,,14.124093874997925,14.133070291994954,15.116631541997776,15.116631541997776,15.116631541997776,15.116631541997776,15.124265916994773,16.117131167004118,16.117131167004118,16.36818316699646,c,1,0.24308354199456517,None,,,,,5,001,2025-10-02_18h28.59.078,motor sequence learning,,2025.1.1,None,2025-10-02 18h29.26.803622 +0530,
-150,z,7,3,1,z,1,0.26292345800902694,None,1,3,7,3,,,,,16.37687750000623,,16.368640750006307,16.37687750000623,17.36734554200666,17.36734554200666,17.36734554200666,17.36734554200666,17.37549979200412,18.35825095900509,18.35825095900509,18.625667041997076,z,1,0.26292345800902694,None,,,,,5,001,2025-10-02_18h28.59.078,motor sequence learning,,2025.1.1,None,2025-10-02 18h29.26.803622 +0530,
-50,x,8,0,2,x,1,0.27846083299664315,None,2,0,8,0,,,,,18.634393583997735,,18.62612075000652,18.634393583997735,19.62551875000645,19.62551875000645,19.62551875000645,19.62551875000645,19.62551875000645,20.623568499999237,20.623568499999237,20.90871000000334,x,1,0.27846083299664315,None,,,,,5,001,2025-10-02_18h28.59.078,motor sequence learning,,2025.1.1,None,2025-10-02 18h29.26.803622 +0530,
150,v,9,1,2,v,1,0.2475660420022905,None,2,1,9,1,,,,,20.917790542007424,,20.90916241699597,20.917790542007424,21.909289375005756,21.909289375005756,21.909289375005756,21.909289375005756,21.909289375005756,22.900426542008063,22.900426542008063,23.150543459007167,v,1,0.2475660420022905,None,,,,,5,001,2025-10-02_18h28.59.078,motor sequence learning,,2025.1.1,None,2025-10-02 18h29.26.803622 +0530,
50,c,10,2,2,c,1,0.2340826240106253,None,2,2,10,2,,,,,23.15534487500554,,23.150968875008402,23.15534487500554,24.143639542002347,24.143639542002347,24.143639542002347,24.143639542002347,24.151174958999036,25.140780417001224,25.140780417001224,25.383915917002014,c,1,0.2340826240106253,None,,,,,5,001,2025-10-02_18h28.59.078,motor sequence learning,,2025.1.1,None,2025-10-02 18h29.26.803622 +0530,
-150,z,11,3,2,z,1,0.4442550410021795,None,2,3,11,3,,,,,25.392132459004642,,25.384253291995265,25.392132459004642,26.375986583996564,26.375986583996564,26.375986583996564,26.375986583996564,26.384234666998964,27.37466533400584,27.37466533400584,27.825621958996635,z,1,0.4442550410021795,None,,,,,5,001,2025-10-02_18h28.59.078,motor sequence learning,,2025.1.1,None,2025-10-02 18h29.26.803622 +0530,
