stim01,stim02,stim03,stim04,stim05,stim06,stim07,stim08,stim09,stim10,stim11,stim12,stim13,stim14,stim15,stim16,lag,thisN,thisTrialN,thisRepN,textbox.text,key_resp.keys,key_resp.rt,key_resp.duration,textbox_2.text,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trialsLoop.thisRepN,trialsLoop.thisTrialN,trialsLoop.thisN,trialsLoop.thisIndex,thisRow.t,notes,instructions.started,instrText.started,instr_key.started,instructions.stopped,instr_key.keys,instr_key.rt,instr_key.duration,trial.started,fixation.started,item01.started,fixation.stopped,item01.stopped,item02.started,item02.stopped,item03.started,item03.stopped,item04.started,item04.stopped,item05.started,item05.stopped,item06.started,item06.stopped,item07.started,item07.stopped,item08.started,item08.stopped,item09.started,item09.stopped,item10.started,item10.stopped,item11.started,item11.stopped,item12.started,item12.stopped,item13.started,item13.stopped,item14.started,item14.stopped,item15.started,item15.stopped,item16.started,item16.stopped,trial.stopped,T1_response.started,respInstr.started,t1Prompt.started,textbox.started,key_resp.started,T1_response.stopped,trialsLoop.textbox.text,trialsLoop.key_resp.keys,trialsLoop.key_resp.rt,trialsLoop.key_resp.duration,T2_response.started,resplnstr_2.started,t2Prompt.started,textbox_2.started,key_resp_2.started,T2_response.stopped,trialsLoop.textbox_2.text,trialsLoop.key_resp_2.keys,trialsLoop.key_resp_2.rt,trialsLoop.key_resp_2.duration,end.started,thanks.started,end_key.started,end.stopped,end_key.keys,end_key.rt,end_key.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0071391669999911755,0.012158041999981606,0.012158041999981606,2.8104366670000047,space,2.588609833999982,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p3,001,2025-11-19_15h47.28.865,experiment trial_1,,2025.1.1,None,2025-11-19 15h47.53.099415 +0530,
O,E,D,F,2.0,S,G,3.0,Z,I,F,X,H,S,J,H,3,0,0,0,2,return,2.0245745830000033,None,"
3",return,0.7396970000000067,None,0,0,0,1,2.84407058299999,,,,,,,,,2.830833666999979,2.84407058299999,3.310596624999988,3.338940167000004,3.5557007499999997,3.5557007499999997,3.7942656669999906,3.8056170419999944,4.045203166999983,4.054751624999994,4.293913666999998,4.3059820830000035,4.543983207999986,4.555871749999994,4.793541791999985,4.8060913329999835,5.044072207999989,5.055931416999982,5.294272791999987,5.305910291999993,5.544911124999999,5.554823374999984,5.794064957999979,5.805358957999999,6.044523916999992,6.054933707999993,6.293727916999984,6.305802083000003,6.543212416999978,6.555940416999988,6.79466283299999,6.805155291999995,7.044438332999988,7.055199041999998,7.296520041999997,7.289848124999992,7.290564999999987,7.31677291699998,7.31677291699998,7.31677291699998,7.31677291699998,9.34601275,2,return,2.0245745830000033,None,9.346268582999983,9.358616624999996,9.358616624999996,9.358616624999996,9.358616624999996,10.105186124999989,"
3",return,0.7396970000000067,None,,,,,,,,p3,001,2025-11-19_15h47.28.865,experiment trial_1,,2025.1.1,None,2025-11-19 15h47.53.099415 +0530,
L,Y,C,K,1.0,E,R,V,F,N,8.0,Q,D,U,F,F,6,1,1,0,1,return,0.878878291999996,None,"
8",return,1.2884281249999958,None,0,1,1,11,10.128870417000002,,,,,,,,,10.124572,10.128870417000002,10.59672012499999,10.628073957999987,10.846108249999986,10.846108249999986,11.089295166999989,11.096034124999989,11.346014499999995,11.346014499999995,11.596249707999988,11.596249707999988,11.84595462499999,11.84595462499999,12.096305749999999,12.096305749999999,12.346217542000005,12.346217542000005,12.589346500000005,12.596390541999995,12.839112957999987,12.846109208000001,13.089202624999984,13.096392082999984,13.346296957999982,13.346296957999982,13.59526758299998,13.59526758299998,13.846209375,13.846209375,14.096275166999988,14.096275166999988,14.339223457999992,14.34598516699998,14.589086082999984,14.578961042000003,14.57937129199999,14.603977499999985,14.603977499999985,14.603977499999985,14.603977499999985,15.488862291999993,1,return,0.878878291999996,None,15.489107542,15.499425416999998,15.499425416999998,15.499425416999998,15.499425416999998,16.789506791999997,"
8",return,1.2884281249999958,None,,,,,,,,p3,001,2025-11-19_15h47.28.865,experiment trial_1,,2025.1.1,None,2025-11-19 15h47.53.099415 +0530,
S,X,U,X,4.0,8.0,O,W,F,L,H,S,E,U,F,Z,1,2,2,0,4,return,2.437162999999998,None,"
6",return,0.9382540839999933,None,0,2,2,0,16.812843125,,,,,,,,,16.807270249999988,16.812843125,17.280039291999998,17.311387749999994,17.529872332999986,17.529872332999986,17.779091749999992,17.779091749999992,18.022527416999992,18.029602374999996,18.272570416999997,18.279232791999988,18.522757999999982,18.529511832999987,18.772707749999995,18.779965833000006,19.02970637499999,19.02970637499999,19.277987707999984,19.277987707999984,19.522574292,19.52942383299998,19.779701791999997,19.779701791999997,20.02945320799998,20.02945320799998,20.278507832999992,20.278507832999992,20.522728124999986,20.529356249999978,20.77213599999999,20.778108666999998,21.022603332999978,21.02971391699998,21.288236791999992,21.273403333000005,21.274090041999983,21.288236791999992,21.288236791999992,21.288236791999992,21.288236791999992,23.727993957999985,4,return,2.437162999999998,None,23.72824129199998,23.738177207999996,23.738177207999996,23.738177207999996,23.738177207999996,24.67878670799999,"
6",return,0.9382540839999933,None,,,,,,,,p3,001,2025-11-19_15h47.28.865,experiment trial_1,,2025.1.1,None,2025-11-19 15h47.53.099415 +0530,
R,C,T,U,6.0,Z,R,2.0,U,U,D,Q,D,R,W,N,3,3,3,0,6,return,1.3149572079999814,None,"
4",return,1.8910993329999997,None,0,3,3,4,24.702766333,,,,,,,,,24.69707004199998,24.702766333,25.17251512499999,25.194471625000006,25.411045041999984,25.42927741699998,25.67235758299998,25.67235758299998,25.91111133299998,25.92941449999998,26.180024000000003,26.180024000000003,26.42847470799998,26.42251216699998,26.66003833299999,26.67872212499998,26.92241358299998,26.92241358299998,27.16080174999999,27.179628917000002,27.422483874999983,27.422483874999983,27.659924875,27.679536125,27.922735625,27.922735625,28.160797000000002,28.17992029199999,28.42718579199999,28.422440582999997,28.65934299999998,28.677179832999997,28.922353791999996,28.922353791999996,29.162545749999992,29.156671082999992,29.157348874999997,29.176179958000006,29.176179958000006,29.176179958000006,29.176179958000006,30.495620541999983,6,return,1.3149572079999814,None,30.49591745799998,30.522039541999987,30.522039541999987,30.522039541999987,30.522039541999987,32.422322917,"
4",return,1.8910993329999997,None,,,,,,,,p3,001,2025-11-19_15h47.28.865,experiment trial_1,,2025.1.1,None,2025-11-19 15h47.53.099415 +0530,
P,Q,Q,K,9.0,C,T,8.0,L,R,P,S,R,T,S,D,3,4,4,0,9,return,1.388216916999994,None,"
8",return,2.501866958000022,None,0,4,4,10,32.446404417,,,,,,,,,32.44099908299998,32.446404417,32.91266704199998,32.94474295799998,33.15577675,33.161417124999986,33.405903207999984,33.412770292000005,33.65601770799998,33.662930625,33.905979874999986,33.91259012499998,34.15614870799999,34.162801833,34.406052958000004,34.413200625,34.662582541999996,34.662582541999996,34.905957083000004,34.91282179199999,35.155967291999985,35.162972999999994,35.40590545799998,35.41281883299999,35.65589858299998,35.662901207999994,35.906063958000004,35.91271549999999,36.155899917,36.162859999999995,36.405805958,36.412899458,36.65607345799998,36.662777250000005,36.905974875,36.89594499999998,36.89645329199999,36.920754958,36.920754958,36.920754958,36.920754958,38.312628916999984,9,return,1.388216916999994,None,38.31287179199998,38.32404937499999,38.32404937499999,38.32404937499999,38.32404937499999,40.829424958000004,"
8",return,2.501866958000022,None,,,,,,,,p3,001,2025-11-19_15h47.28.865,experiment trial_1,,2025.1.1,None,2025-11-19 15h47.53.099415 +0530,
W,L,A,X,2.0,6.0,V,E,F,H,V,K,S,J,B,K,1,5,5,0,6,return,1.2463228750000042,None,"
2",return,1.0338347910000039,None,0,5,5,3,40.85501504199999,,,,,,,,,40.84962941699999,40.85501504199999,41.329235958,41.3437045,41.578849666999986,41.578849666999986,41.82253212499998,41.82253212499998,42.05961374999998,42.078830124999996,42.322595957999994,42.322595957999994,42.56023208299999,42.57963083299998,42.822807874999995,42.822807874999995,43.060069999999996,43.079588666999996,43.32989979199999,43.32989979199999,43.578058957999986,43.572630167,43.81022008299999,43.82943216699999,44.072560708,44.072560708,44.311614582999994,44.329353707999985,44.572535792,44.572535792,44.810067667,44.828794875,45.072689583,45.072689583,45.31192420799999,45.306555833000004,45.30708179199999,45.32533999999998,45.32533999999998,45.32533999999998,45.32533999999998,46.572327,6,return,1.2463228750000042,None,46.57256666699999,46.58289854199998,46.58289854199998,46.58289854199998,46.58289854199998,47.62265708299998,"
2",return,1.0338347910000039,None,,,,,,,,p3,001,2025-11-19_15h47.28.865,experiment trial_1,,2025.1.1,None,2025-11-19 15h47.53.099415 +0530,
M,K,I,Z,4.0,1.0,F,C,X,H,D,L,N,W,N,H,1,6,6,0,4,return,1.0085180000000094,None,"
1",return,0.6252587079999898,None,0,6,6,9,47.64663462499999,,,,,,,,,47.641140750000005,47.64663462499999,48.112483207999986,48.14479112499998,48.356037291999996,48.363232417000006,48.61312883299999,48.61312883299999,48.86356720799998,48.86356720799998,49.112725041999994,49.112725041999994,49.35597579199998,49.362761417,49.60605749999999,49.61271987499998,49.855851833,49.86283599999999,50.113091833,50.113091833,50.36205637499998,50.36205637499998,50.605926874999994,50.61238887499999,50.85602470799998,50.863123083000005,51.10601374999999,51.11208720799999,51.355915208,51.3622,51.61317712499999,51.61317712499999,51.862623125,51.862623125,52.105998624999984,52.095948625000005,52.096436624999996,52.12127295799999,52.12127295799999,52.12127295799999,52.12127295799999,53.13882591699999,4,return,1.0085180000000094,None,53.139076166999985,53.148704374999994,53.148704374999994,53.148704374999994,53.148704374999994,53.779130167000005,"
1",return,0.6252587079999898,None,,,,,,,,p3,001,2025-11-19_15h47.28.865,experiment trial_1,,2025.1.1,None,2025-11-19 15h47.53.099415 +0530,
J,F,V,N,6.0,M,O,9.0,G,N,U,Z,A,V,W,L,3,7,7,0,6,return,1.125545499999987,None,"
9",return,0.5887817910000024,None,0,7,7,7,53.80240979199999,,,,,,,,,53.79730708299999,53.80240979199999,54.27274987499999,54.29495749999998,54.510817,54.531116999999995,54.777145042,54.772629292000005,55.01110341699999,55.029691249999985,55.27972241699999,55.27972241699999,55.522725167000004,55.522725167000004,55.76090966699999,55.77971608299998,56.028122083,56.022563082999994,56.26079575,56.27808620799999,56.522612082999984,56.522612082999984,56.76123575,56.779169249999995,57.022724582999984,57.022724582999984,57.26118116699999,57.27977058299999,57.522681207999995,57.522681207999995,57.761106291999994,57.77968545799999,58.02973129199998,58.02973129199998,58.286351207999985,58.272873667,58.27319087499998,58.286351207999985,58.286351207999985,58.286351207999985,58.286351207999985,59.423150792,6,return,1.125545499999987,None,59.42339545799999,59.43319708299998,59.43319708299998,59.43319708299998,59.43319708299998,60.023059458000006,"
9",return,0.5887817910000024,None,,,,,,,,p3,001,2025-11-19_15h47.28.865,experiment trial_1,,2025.1.1,None,2025-11-19 15h47.53.099415 +0530,
S,X,D,O,2.0,L,T,F,Z,A,4.0,A,T,G,I,Z,6,8,8,0,2,return,1.3506279160000076,None,"
4",return,0.6075092080000104,None,0,8,8,2,60.04662866699999,,,,,,,,,60.041073624999996,60.04662866699999,60.512688083,60.544374250000004,60.755973374999996,60.762304916999994,61.00581599999998,61.01239566699999,61.25619112499999,61.263351124999986,61.512374292000004,61.512374292000004,61.76305824999997,61.76305824999997,62.00606716699997,62.013423375,62.26300012500002,62.26300012500002,62.50616470799997,62.51327950000001,62.762901666999994,62.762901666999994,63.00608208299997,63.012951457999975,63.256200957999965,63.26281958300001,63.506073000000015,63.512982541999975,63.75608566699998,63.762668082999994,64.006214667,64.01290366699999,64.25610312499998,64.26298295800001,64.52168508299997,64.50651566699997,64.507032208,64.52168508299997,64.52168508299997,64.52168508299997,64.52168508299997,65.873116708,2,return,1.3506279160000076,None,65.87335454200002,65.88278387499997,65.88278387499997,65.88278387499997,65.88278387499997,66.49437224999997,"
4",return,0.6075092080000104,None,,,,,,,,p3,001,2025-11-19_15h47.28.865,experiment trial_1,,2025.1.1,None,2025-11-19 15h47.53.099415 +0530,
