thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,0,0,[np.float64(-0.315)],[np.float64(0.05)],[1],[0],[0],[1.4365806669957237],[None],0,0,0,0,0.07253275001130532,,10,0.060113625004305504,0.07253275001130532,0.07253275001130532,0.06012887498945929,1.496739209003863,[np.float64(-0.315)],[np.float64(0.05)],[1],[0],[0],[1.4365806669957237],[None],02,001,2025-10-01_18h58.22.109,visual search,,2025.1.1,None,2025-10-01 18h58.29.146168 +0530,
1,0,1,[np.float64(0.041666666666666664)],[np.float64(0.205)],[1],[0],[0],[0.9139502500038361],[None],1,0,1,0,1.5225750000099652,,10,1.5140784590039402,1.5225750000099652,1.5225750000099652,0.017145500009064563,2.428061834012624,[np.float64(0.041666666666666664)],[np.float64(0.205)],[1],[0],[0],[0.9139502500038361],[None],02,001,2025-10-01_18h58.22.109,visual search,,2025.1.1,None,2025-10-01 18h58.29.146168 +0530,
2,0,2,[np.float64(0.2966666666666667)],[np.float64(-0.265)],[1],[0],[0],[0.8993337080028141],[None],2,0,2,0,2.4542914170015138,,10,2.4455719590041554,2.4542914170015138,2.4542914170015138,0.017381249999743886,3.344934792010463,[np.float64(0.2966666666666667)],[np.float64(-0.265)],[1],[0],[0],[0.8993337080028141],[None],02,001,2025-10-01_18h58.22.109,visual search,,2025.1.1,None,2025-10-01 18h58.29.146168 +0530,
3,0,3,[np.float64(0.09833333333333333)],[np.float64(-0.235)],[1],[0],[0],[0.98338612500811],['target'],3,0,3,0,3.3696817500022007,,10,3.3617010840098374,3.3696817500022007,3.3696817500022007,0.016637958004139364,4.345140125005855,[np.float64(0.09833333333333333)],[np.float64(-0.235)],[1],[0],[0],[0.98338612500811],['target'],02,001,2025-10-01_18h58.22.109,visual search,,2025.1.1,None,2025-10-01 18h58.29.146168 +0530,
4,0,4,[np.float64(-0.028333333333333332)],[np.float64(0.265)],[1],[0],[0],[0.7992264580097981],['target'],4,0,4,0,4.370473375005531,,10,4.362280917004682,4.370473375005531,4.370473375005531,0.016996292004478164,5.161548917007167,[np.float64(-0.028333333333333332)],[np.float64(0.265)],[1],[0],[0],[0.7992264580097981],['target'],02,001,2025-10-01_18h58.22.109,visual search,,2025.1.1,None,2025-10-01 18h58.29.146168 +0530,
5,0,5,[np.float64(0.47833333333333333)],[np.float64(-0.03333333333333333)],[1],[0],[0],[0.9063424589985516],['target'],5,0,5,0,5.177040959009901,,5,5.170570750007755,5.177040959009901,5.177040959009901,0.008881625006324612,6.07695629200316,[np.float64(0.47833333333333333)],[np.float64(-0.03333333333333333)],[1],[0],[0],[0.9063424589985516],['target'],02,001,2025-10-01_18h58.22.109,visual search,,2025.1.1,None,2025-10-01 18h58.29.146168 +0530,
6,0,6,[np.float64(-0.305)],[np.float64(0.08833333333333333)],[1],[0],[0],[0.9507280420075404],['target'],6,0,6,0,6.102934084003209,,10,6.094159500004025,6.102934084003209,6.102934084003209,0.01708745899668429,7.044923209003173,[np.float64(-0.305)],[np.float64(0.08833333333333333)],[1],[0],[0],[0.9507280420075404],['target'],02,001,2025-10-01_18h58.22.109,visual search,,2025.1.1,None,2025-10-01 18h58.29.146168 +0530,
7,0,7,[np.float64(0.07833333333333334)],[np.float64(0.0)],[1],[0],[0],[1.049830457995995],['target'],7,0,7,0,7.070564417008427,,10,7.062006584004848,7.070564417008427,7.070564417008427,0.016948584001511335,8.111876292008674,[np.float64(0.07833333333333334)],[np.float64(0.0)],[1],[0],[0],[1.049830457995995],['target'],02,001,2025-10-01_18h58.22.109,visual search,,2025.1.1,None,2025-10-01 18h58.29.146168 +0530,
8,0,8,[np.float64(0.08)],[np.float64(0.13)],[1],[0],[0],[0.590152125005261],[None],8,0,8,0,8.127726500009885,,5,8.121076667011948,8.127726500009885,8.127726500009885,0.009045749990036711,8.711274708999554,[np.float64(0.08)],[np.float64(0.13)],[1],[0],[0],[0.590152125005261],[None],02,001,2025-10-01_18h58.22.109,visual search,,2025.1.1,None,2025-10-01 18h58.29.146168 +0530,
9,0,9,[np.float64(-0.275)],[np.float64(0.075)],[1],[0],[0],[0.8817378340027062],['target'],9,0,9,0,8.73868962501001,,10,8.729303334010183,8.73868962501001,8.73868962501001,0.017906624998431653,9.611083916999632,[np.float64(-0.275)],[np.float64(0.075)],[1],[0],[0],[0.8817378340027062],['target'],02,001,2025-10-01_18h58.22.109,visual search,,2025.1.1,None,2025-10-01 18h58.29.146168 +0530,
10,0,10,[np.float64(-0.19666666666666666)],[np.float64(-0.425)],[1],[0],[0],[1.8334502079960657],[None],10,0,10,0,9.636835709010484,,10,9.628380459005712,9.636835709010484,9.636835709010484,0.01715787500143051,11.461870541999815,[np.float64(-0.19666666666666666)],[np.float64(-0.425)],[1],[0],[0],[1.8334502079960657],[None],02,001,2025-10-01_18h58.22.109,visual search,,2025.1.1,None,2025-10-01 18h58.29.146168 +0530,
11,0,11,[np.float64(0.23833333333333334)],[np.float64(0.22833333333333333)],[1],[0],[0],[0.9650453329959419],[None],11,0,11,0,11.48765879200073,,10,11.479044959007297,11.48765879200073,11.48765879200073,0.01702320799813606,12.444130459000007,[np.float64(0.23833333333333334)],[np.float64(0.22833333333333333)],[1],[0],[0],[0.9650453329959419],[None],02,001,2025-10-01_18h58.22.109,visual search,,2025.1.1,None,2025-10-01 18h58.29.146168 +0530,
12,0,12,[np.float64(-0.365)],[np.float64(0.31333333333333335)],[1],[0],[0],[0.7838149999879533],[None],12,0,12,0,12.469468042007065,,10,12.461362709000241,12.469468042007065,12.469468042007065,0.017084709004848264,13.245232166998903,[np.float64(-0.365)],[np.float64(0.31333333333333335)],[1],[0],[0],[0.7838149999879533],[None],02,001,2025-10-01_18h58.22.109,visual search,,2025.1.1,None,2025-10-01 18h58.29.146168 +0530,
