thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,0,0,[np.float64(0.3891213389121339)],[np.float64(0.09623430962343096)],[1],[0],[0],[1.4933752920042025],['target'],0,0,0,0,0.11353275000874419,,10,0.0956035000126576,0.11353275000874419,0.11353275000874419,0.09562279199599288,1.5890248750074534,[np.float64(0.3891213389121339)],[np.float64(0.09623430962343096)],[1],[0],[0],[1.4933752920042025],['target'],05,001,2025-10-01_19h19.01.376,visual search,,2025.1.1,None,2025-10-01 19h19.07.548635 +0530,
1,0,1,[np.float64(0.19769874476987448)],[np.float64(0.34414225941422594)],[1],[0],[0],[1.0515354160015704],['target'],1,0,1,0,1.6075700410001446,,5,1.5992914160015061,1.6075700410001446,1.6075700410001446,0.009999208006775007,2.6509065410064068,[np.float64(0.19769874476987448)],[np.float64(0.34414225941422594)],[1],[0],[0],[1.0515354160015704],['target'],05,001,2025-10-01_19h19.01.376,visual search,,2025.1.1,None,2025-10-01 19h19.07.548635 +0530,
2,0,2,[np.float64(0.3305439330543933)],[np.float64(-0.009414225941422594)],[1],[0],[0],[1.0932082080107648],['target'],2,0,2,0,2.6827654160006205,,10,2.672517791012069,2.6827654160006205,2.6827654160006205,0.02142124999954831,3.765768625002238,[np.float64(0.3305439330543933)],[np.float64(-0.009414225941422594)],[1],[0],[0],[1.0932082080107648],['target'],05,001,2025-10-01_19h19.01.376,visual search,,2025.1.1,None,2025-10-01 19h19.07.548635 +0530,
3,0,3,[np.float64(-0.4194560669456067)],[np.float64(0.24267782426778242)],[1],[0],[0],[1.364018541004043],['target'],3,0,3,0,3.795757041007164,,10,3.785453125005006,3.795757041007164,3.795757041007164,0.0195112500077812,5.1495093750127126,[np.float64(-0.4194560669456067)],[np.float64(0.24267782426778242)],[1],[0],[0],[1.364018541004043],['target'],05,001,2025-10-01_19h19.01.376,visual search,,2025.1.1,None,2025-10-01 19h19.07.548635 +0530,
4,0,4,[np.float64(0.14435146443514643)],[np.float64(-0.3577405857740586)],[1],[0],[0],[1.0908175420045154],['target'],4,0,4,0,5.168373083011829,,5,5.160156166006345,5.168373083011829,5.168373083011829,0.010479250006028451,6.251036125002429,[np.float64(0.14435146443514643)],[np.float64(-0.3577405857740586)],[1],[0],[0],[1.0908175420045154],['target'],05,001,2025-10-01_19h19.01.376,visual search,,2025.1.1,None,2025-10-01 19h19.07.548635 +0530,
5,0,5,[np.float64(-0.20292887029288703)],[np.float64(0.40376569037656906)],[1],[0],[0],[0.9601374580088304],['target'],5,0,5,0,6.284303833002923,,10,6.274050583000644,6.284303833002923,6.284303833002923,0.022838958000647835,7.234225750013138,[np.float64(-0.20292887029288703)],[np.float64(0.40376569037656906)],[1],[0],[0],[0.9601374580088304],['target'],05,001,2025-10-01_19h19.01.376,visual search,,2025.1.1,None,2025-10-01 19h19.07.548635 +0530,
6,0,6,[np.float64(-0.3901673640167364)],[np.float64(-0.4435146443514644)],[1],[0],[0],[1.6569562910008244],['target'],6,0,6,0,7.253446500006248,,5,7.24527416600904,7.253446500006248,7.253446500006248,0.01088562500081025,8.902296500004013,[np.float64(-0.3901673640167364)],[np.float64(-0.4435146443514644)],[1],[0],[0],[1.6569562910008244],['target'],05,001,2025-10-01_19h19.01.376,visual search,,2025.1.1,None,2025-10-01 19h19.07.548635 +0530,
7,0,7,[np.float64(0.1108786610878661)],[np.float64(0.2583682008368201)],[1],[0],[0],[0.8586568750033621],[None],7,0,7,0,8.935791166004492,,10,8.925011208004435,8.935791166004492,8.935791166004492,0.02252312500786502,9.783708875009324,[np.float64(0.1108786610878661)],[np.float64(0.2583682008368201)],[1],[0],[0],[0.8586568750033621],[None],05,001,2025-10-01_19h19.01.376,visual search,,2025.1.1,None,2025-10-01 19h19.07.548635 +0530,
8,0,8,[np.float64(-0.3200836820083682)],[np.float64(-0.4246861924686193)],[1],[0],[0],[1.506709042005241],['target'],8,0,8,0,9.803163916003541,,5,9.794939750005142,9.803163916003541,9.803163916003541,0.011066666003898717,11.3017172079999,[np.float64(-0.3200836820083682)],[np.float64(-0.4246861924686193)],[1],[0],[0],[1.506709042005241],['target'],05,001,2025-10-01_19h19.01.376,visual search,,2025.1.1,None,2025-10-01 19h19.07.548635 +0530,
9,0,9,[np.float64(0.17573221757322174)],[np.float64(-0.39330543933054396)],[1],[0],[0],[1.1259007089975057],['target'],9,0,9,0,11.335146291006822,,10,11.324705500010168,11.335146291006822,11.335146291006822,0.02281237499846611,12.45066112501081,[np.float64(0.17573221757322174)],[np.float64(-0.39330543933054396)],[1],[0],[0],[1.1259007089975057],['target'],05,001,2025-10-01_19h19.01.376,visual search,,2025.1.1,None,2025-10-01 19h19.07.548635 +0530,
10,0,10,[np.float64(-0.1893305439330544)],[np.float64(0.07217573221757322)],[1],[0],[0],[1.0617951249878388],[None],10,0,10,0,12.482651041005738,,10,12.472033958008979,12.482651041005738,12.482651041005738,0.021163333003642038,13.533879958005855,[np.float64(-0.1893305439330544)],[np.float64(0.07217573221757322)],[1],[0],[0],[1.0617951249878388],[None],05,001,2025-10-01_19h19.01.376,visual search,,2025.1.1,None,2025-10-01 19h19.07.548635 +0530,
11,0,11,[np.float64(-0.16736401673640167)],[np.float64(-0.4497907949790795)],[1],[0],[0],[1.1633006670017494],['target'],11,0,11,0,13.5642734580033,,10,13.553939541001455,13.5642734580033,13.5642734580033,0.019887624992406927,14.717281083008857,[np.float64(-0.16736401673640167)],[np.float64(-0.4497907949790795)],[1],[0],[0],[1.1633006670017494],['target'],05,001,2025-10-01_19h19.01.376,visual search,,2025.1.1,None,2025-10-01 19h19.07.548635 +0530,
12,0,12,[np.float64(0.0)],[np.float64(0.45083682008368203)],[1],[0],[0],[2.2623332090006443],['target'],12,0,12,0,14.746964208010468,,10,14.736700375011424,14.746964208010468,14.746964208010468,0.019252333004260436,16.999072833001264,[np.float64(0.0)],[np.float64(0.45083682008368203)],[1],[0],[0],[2.2623332090006443],['target'],05,001,2025-10-01_19h19.01.376,visual search,,2025.1.1,None,2025-10-01 19h19.07.548635 +0530,
13,0,13,[np.float64(-0.2730125523012552)],[np.float64(0.26778242677824265)],[1],[0],[0],[1.1230079590022797],['target'],13,0,13,0,17.017710958010866,,5,17.008686708009918,17.017710958010866,17.017710958010866,0.009478332998696715,18.131769250001526,[np.float64(-0.2730125523012552)],[np.float64(0.26778242677824265)],[1],[0],[0],[1.1230079590022797],['target'],05,001,2025-10-01_19h19.01.376,visual search,,2025.1.1,None,2025-10-01 19h19.07.548635 +0530,
14,0,14,[np.float64(0.16527196652719664)],[np.float64(0.07740585774058577)],[1],[0],[0],[1.2972016249987064],['target'],14,0,14,0,18.16291187501338,,10,18.152434916002676,18.16291187501338,18.16291187501338,0.020472374992095865,19.449668291010312,[np.float64(0.16527196652719664)],[np.float64(0.07740585774058577)],[1],[0],[0],[1.2972016249987064],['target'],05,001,2025-10-01_19h19.01.376,visual search,,2025.1.1,None,2025-10-01 19h19.07.548635 +0530,
15,0,15,[np.float64(0.3148535564853556)],[np.float64(0.04707112970711297)],[1],[0],[0],[1.6902599169989116],['target'],15,0,15,0,19.46813308300625,,5,19.460040833000676,19.46813308300625,19.46813308300625,0.010228874991298653,21.150376250006957,[np.float64(0.3148535564853556)],[np.float64(0.04707112970711297)],[1],[0],[0],[1.6902599169989116],['target'],05,001,2025-10-01_19h19.01.376,visual search,,2025.1.1,None,2025-10-01 19h19.07.548635 +0530,
16,0,16,[np.float64(0.23744769874476987)],[np.float64(-0.12133891213389121)],[1],[0],[0],[1.825012917004642],['target'],16,0,16,0,21.184711458001402,,10,21.173912208003458,21.184711458001402,21.184711458001402,0.02326541699585505,22.998951333007426,[np.float64(0.23744769874476987)],[np.float64(-0.12133891213389121)],[1],[0],[0],[1.825012917004642],['target'],05,001,2025-10-01_19h19.01.376,visual search,,2025.1.1,None,2025-10-01 19h19.07.548635 +0530,
17,0,17,[np.float64(-0.24372384937238495)],[np.float64(-0.252092050209205)],[1],[0],[0],[1.2831667910068063],[None],17,0,17,0,23.027952625008766,,10,23.017219041008502,23.027952625008766,23.027952625008766,0.018126165989087895,24.300432791002095,[np.float64(-0.24372384937238495)],[np.float64(-0.252092050209205)],[1],[0],[0],[1.2831667910068063],[None],05,001,2025-10-01_19h19.01.376,visual search,,2025.1.1,None,2025-10-01 19h19.07.548635 +0530,
18,0,18,[np.float64(-0.29811715481171547)],[np.float64(-0.3598326359832636)],[1],[0],[0],[1.2392752919986378],['target'],18,0,18,0,24.320085000013933,,5,24.31168354100373,24.320085000013933,24.320085000013933,0.011076124996179715,25.551018750004005,[np.float64(-0.29811715481171547)],[np.float64(-0.3598326359832636)],[1],[0],[0],[1.2392752919986378],['target'],05,001,2025-10-01_19h19.01.376,visual search,,2025.1.1,None,2025-10-01 19h19.07.548635 +0530,
19,0,19,[np.float64(0.07635983263598327)],[np.float64(-0.10669456066945607)],[1],[0],[0],[1.8105753749987343],['target'],19,0,19,0,25.58374020800693,,10,25.573272083012853,25.58374020800693,25.58374020800693,0.02208183301263489,27.383878208012902,[np.float64(0.07635983263598327)],[np.float64(-0.10669456066945607)],[1],[0],[0],[1.8105753749987343],['target'],05,001,2025-10-01_19h19.01.376,visual search,,2025.1.1,None,2025-10-01 19h19.07.548635 +0530,
20,0,20,[np.float64(-0.21234309623430964)],[np.float64(0.08472803347280335)],[1],[0],[0],[0.9657841670123162],['target'],20,0,20,0,27.412377666012617,,10,27.401908125000773,27.412377666012617,27.412377666012617,0.0178901670005871,28.367734166007722,[np.float64(-0.21234309623430964)],[np.float64(0.08472803347280335)],[1],[0],[0],[0.9657841670123162],['target'],05,001,2025-10-01_19h19.01.376,visual search,,2025.1.1,None,2025-10-01 19h19.07.548635 +0530,
21,0,21,[np.float64(0.12552301255230125)],[np.float64(-0.15271966527196654)],[1],[0],[0],[1.1137675840000156],['target'],21,0,21,0,28.39724683300301,,10,28.386818666011095,28.39724683300301,28.39724683300301,0.018917917012004182,29.50063425001281,[np.float64(0.12552301255230125)],[np.float64(-0.15271966527196654)],[1],[0],[0],[1.1137675840000156],['target'],05,001,2025-10-01_19h19.01.376,visual search,,2025.1.1,None,2025-10-01 19h19.07.548635 +0530,
22,0,22,[np.float64(-0.08786610878661087)],[np.float64(0.21652719665271966)],[1],[0],[0],[0.9296442500053672],['target'],22,0,22,0,29.5301787500066,,10,29.520239290999598,29.5301787500066,29.5301787500066,0.019421542005147785,30.44992904100218,[np.float64(-0.08786610878661087)],[np.float64(0.21652719665271966)],[1],[0],[0],[0.9296442500053672],['target'],05,001,2025-10-01_19h19.01.376,visual search,,2025.1.1,None,2025-10-01 19h19.07.548635 +0530,
23,0,23,[np.float64(0.056485355648535567)],[np.float64(-0.33158995815899583)],[1],[0],[0],[0.9060478329920443],['target'],23,0,23,0,30.469060875009745,,5,30.46109041600721,30.469060875009745,30.469060875009745,0.010996625002007931,31.367193416008377,[np.float64(0.056485355648535567)],[np.float64(-0.33158995815899583)],[1],[0],[0],[0.9060478329920443],['target'],05,001,2025-10-01_19h19.01.376,visual search,,2025.1.1,None,2025-10-01 19h19.07.548635 +0530,
24,0,24,[np.float64(0.2301255230125523)],[np.float64(-0.3179916317991632)],[1],[0],[0],[0.9631677919969661],['target'],24,0,24,0,31.397348708007485,,10,31.387304500007303,31.397348708007485,31.397348708007485,0.019944708998082206,32.350513833007426,[np.float64(0.2301255230125523)],[np.float64(-0.3179916317991632)],[1],[0],[0],[0.9631677919969661],['target'],05,001,2025-10-01_19h19.01.376,visual search,,2025.1.1,None,2025-10-01 19h19.07.548635 +0530,
25,0,25,[np.float64(0.41631799163179917)],[np.float64(-0.4780334728033473)],[1],[0],[0],[1.2148453749978216],['target'],25,0,25,0,32.37953550000384,,10,32.36976612500439,32.37953550000384,32.37953550000384,0.0190921250032261,33.5846683330019,[np.float64(0.41631799163179917)],[np.float64(-0.4780334728033473)],[1],[0],[0],[1.2148453749978216],['target'],05,001,2025-10-01_19h19.01.376,visual search,,2025.1.1,None,2025-10-01 19h19.07.548635 +0530,
26,0,26,[np.float64(0.36715481171548114)],[np.float64(-0.3064853556485356)],[1],[0],[0],[0.8844500410050387],['target'],26,0,26,0,33.605506125008105,,5,33.59716395800933,33.605506125008105,33.605506125008105,0.012285791992326267,34.48167225001089,[np.float64(0.36715481171548114)],[np.float64(-0.3064853556485356)],[1],[0],[0],[0.8844500410050387],['target'],05,001,2025-10-01_19h19.01.376,visual search,,2025.1.1,None,2025-10-01 19h19.07.548635 +0530,
27,0,27,[np.float64(0.3253138075313807)],[np.float64(-0.21234309623430964)],[1],[0],[0],[0.721548083005473],['target'],27,0,27,0,34.50319216601201,,5,34.49477741601004,34.50319216601201,34.50319216601201,0.012929250005981885,35.21638170799997,[np.float64(0.3253138075313807)],[np.float64(-0.21234309623430964)],[1],[0],[0],[0.721548083005473],['target'],05,001,2025-10-01_19h19.01.376,visual search,,2025.1.1,None,2025-10-01 19h19.07.548635 +0530,
28,0,28,[np.float64(0.17468619246861924)],[np.float64(-0.06485355648535565)],[1],[0],[0],[0.8709851250023348],['target'],28,0,28,0,35.236929333012085,,5,35.228390000003856,35.236929333012085,35.236929333012085,0.011827249996713363,36.09941908300971,[np.float64(0.17468619246861924)],[np.float64(-0.06485355648535565)],[1],[0],[0],[0.8709851250023348],['target'],05,001,2025-10-01_19h19.01.376,visual search,,2025.1.1,None,2025-10-01 19h19.07.548635 +0530,
29,0,29,[np.float64(0.3891213389121339)],[np.float64(0.15690376569037656)],[1],[0],[0],[1.2049691669963067],['target'],29,0,29,0,36.120255125002586,,5,36.111841375008225,36.120255125002586,36.120255125002586,0.012284333002753556,37.31687025001156,[np.float64(0.3891213389121339)],[np.float64(0.15690376569037656)],[1],[0],[0],[1.2049691669963067],['target'],05,001,2025-10-01_19h19.01.376,visual search,,2025.1.1,None,2025-10-01 19h19.07.548635 +0530,
30,0,30,[np.float64(-0.03556485355648536)],[np.float64(-0.42887029288702927)],[1],[0],[0],[1.4276659579918487],['target'],30,0,30,0,37.34892358300567,,10,37.3387654160033,37.34892358300567,37.34892358300567,0.021720583012211137,38.76649029100372,[np.float64(-0.03556485355648536)],[np.float64(-0.42887029288702927)],[1],[0],[0],[1.4276659579918487],['target'],05,001,2025-10-01_19h19.01.376,visual search,,2025.1.1,None,2025-10-01 19h19.07.548635 +0530,
31,0,31,[np.float64(0.11506276150627615)],[np.float64(-0.4393305439330544)],[1],[0],[0],[0.9144630000082543],['target'],31,0,31,0,38.795465208007954,,10,38.78512358300213,38.795465208007954,38.795465208007954,0.018439666004269384,39.699631708004745,[np.float64(0.11506276150627615)],[np.float64(-0.4393305439330544)],[1],[0],[0],[0.9144630000082543],['target'],05,001,2025-10-01_19h19.01.376,visual search,,2025.1.1,None,2025-10-01 19h19.07.548635 +0530,
32,0,32,[np.float64(0.48640167364016734)],[np.float64(-0.4089958158995816)],[1],[0],[0],[2.022180625004694],['target'],32,0,32,0,39.7185280410049,,5,39.71067337501154,39.7185280410049,39.7185280410049,0.010855750006157905,41.73291762500594,[np.float64(0.48640167364016734)],[np.float64(-0.4089958158995816)],[1],[0],[0],[2.022180625004694],['target'],05,001,2025-10-01_19h19.01.376,visual search,,2025.1.1,None,2025-10-01 19h19.07.548635 +0530,
33,0,33,[np.float64(-0.35251046025104604)],[np.float64(-0.021966527196652718)],[1],[0],[0],[1.3460675829992397],['target'],33,0,33,0,41.764516500014,,10,41.753511500006425,41.764516500014,41.764516500014,0.02040320799278561,43.09962608299975,[np.float64(-0.35251046025104604)],[np.float64(-0.021966527196652718)],[1],[0],[0],[1.3460675829992397],['target'],05,001,2025-10-01_19h19.01.376,visual search,,2025.1.1,None,2025-10-01 19h19.07.548635 +0530,
34,0,34,[np.float64(-0.17573221757322174)],[np.float64(0.06380753138075314)],[1],[0],[0],[1.01511120799114],['target'],34,0,34,0,43.12940208301006,,10,43.11921641600202,43.12940208301006,43.12940208301006,0.019420957993133925,44.134369375009555,[np.float64(-0.17573221757322174)],[np.float64(0.06380753138075314)],[1],[0],[0],[1.01511120799114],['target'],05,001,2025-10-01_19h19.01.376,visual search,,2025.1.1,None,2025-10-01 19h19.07.548635 +0530,
35,0,35,[np.float64(0.23535564853556484)],[np.float64(0.10251046025104603)],[1],[0],[0],[1.2134217090060702],['target'],35,0,35,0,44.16452725000272,,10,44.1541747910087,44.16452725000272,44.16452725000272,0.019636416996945627,45.36764233300346,[np.float64(0.23535564853556484)],[np.float64(0.10251046025104603)],[1],[0],[0],[1.2134217090060702],['target'],05,001,2025-10-01_19h19.01.376,visual search,,2025.1.1,None,2025-10-01 19h19.07.548635 +0530,
36,0,36,[np.float64(-0.21548117154811716)],[np.float64(-0.07426778242677824)],[1],[0],[0],[1.1629844170092838],['target'],36,0,36,0,45.39883850001206,,10,45.388028750006924,45.39883850001206,45.39883850001206,0.0202138750028098,46.551055750009255,[np.float64(-0.21548117154811716)],[np.float64(-0.07426778242677824)],[1],[0],[0],[1.1629844170092838],['target'],05,001,2025-10-01_19h19.01.376,visual search,,2025.1.1,None,2025-10-01 19h19.07.548635 +0530,
37,0,37,[np.float64(-0.2594142259414226)],[np.float64(0.1307531380753138)],[1],[0],[0],[1.1894125000108033],['target'],37,0,37,0,46.56976170800044,,5,46.56162445800146,46.56976170800044,46.56976170800044,0.010401082996395417,47.75109975000669,[np.float64(-0.2594142259414226)],[np.float64(0.1307531380753138)],[1],[0],[0],[1.1894125000108033],['target'],05,001,2025-10-01_19h19.01.376,visual search,,2025.1.1,None,2025-10-01 19h19.07.548635 +0530,
