thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,0,0,[np.float64(0.48640167364016734)],[np.float64(-0.04811715481171548)],[1],[0],[0],[1.2434851250000065],['target'],0,0,0,0,0.06850704200041946,,5,0.05613787499896716,0.06850704200041946,0.06850704200041946,0.05615337500057649,1.2996959169977345,[np.float64(0.48640167364016734)],[np.float64(-0.04811715481171548)],[1],[0],[0],[1.2434851250000065],['target'],03,001,2025-10-01_19h03.25.185,visual search,,2025.1.1,None,2025-10-01 19h03.31.469254 +0530,
1,0,1,[np.float64(-0.24163179916317992)],[np.float64(0.47594142259414224)],[1],[0],[0],[1.1965269159991294],['target'],1,0,1,0,1.319860499992501,,5,1.3114559579989873,1.319860499992501,1.319860499992501,0.011508750001667067,2.508051249998971,[np.float64(-0.24163179916317992)],[np.float64(0.47594142259414224)],[1],[0],[0],[1.1965269159991294],['target'],03,001,2025-10-01_19h03.25.185,visual search,,2025.1.1,None,2025-10-01 19h03.31.469254 +0530,
2,0,2,[np.float64(-0.21234309623430964)],[np.float64(0.34518828451882844)],[1],[0],[0],[0.6554167919966858],['target'],2,0,2,0,2.535544917001971,,10,2.5255026669910876,2.535544917001971,2.535544917001971,0.017326790999504738,3.180967749998672,[np.float64(-0.21234309623430964)],[np.float64(0.34518828451882844)],[1],[0],[0],[0.6554167919966858],['target'],03,001,2025-10-01_19h03.25.185,visual search,,2025.1.1,None,2025-10-01 19h03.31.469254 +0530,
3,0,3,[np.float64(0.02615062761506276)],[np.float64(0.4225941422594142)],[1],[0],[0],[1.023422665995895],['target'],3,0,3,0,3.2003436669911025,,5,3.192096416998538,3.2003436669911025,3.2003436669911025,0.010940500011201948,4.21558216700214,[np.float64(0.02615062761506276)],[np.float64(0.4225941422594142)],[1],[0],[0],[1.023422665995895],['target'],03,001,2025-10-01_19h03.25.185,visual search,,2025.1.1,None,2025-10-01 19h03.31.469254 +0530,
4,0,4,[np.float64(0.401673640167364)],[np.float64(-0.35355648535564854)],[1],[0],[0],[1.19386079099786],[None],4,0,4,0,4.249041582996142,,10,4.238366082994617,4.249041582996142,4.249041582996142,0.022615834008320235,5.432268082993687,[np.float64(0.401673640167364)],[np.float64(-0.35355648535564854)],[1],[0],[0],[1.19386079099786],[None],03,001,2025-10-01_19h03.25.185,visual search,,2025.1.1,None,2025-10-01 19h03.31.469254 +0530,
5,0,5,[np.float64(0.4811715481171548)],[np.float64(0.446652719665272)],[1],[0],[0],[1.6249596660054522],[None],5,0,5,0,5.450929166996502,,5,5.442668332994799,5.450929166996502,5.450929166996502,0.010231292006210424,7.067694582990953,[np.float64(0.4811715481171548)],[np.float64(0.446652719665272)],[1],[0],[0],[1.6249596660054522],[None],03,001,2025-10-01_19h03.25.185,visual search,,2025.1.1,None,2025-10-01 19h03.31.469254 +0530,
6,0,6,[np.float64(0.3263598326359833)],[np.float64(-0.4916317991631799)],[1],[0],[0],[1.548539334005909],[None],6,0,6,0,7.090271916997153,,5,7.081246542002191,7.090271916997153,7.090271916997153,0.013372415996855125,8.629853249993175,[np.float64(0.3263598326359833)],[np.float64(-0.4916317991631799)],[1],[0],[0],[1.548539334005909],[None],03,001,2025-10-01_19h03.25.185,visual search,,2025.1.1,None,2025-10-01 19h03.31.469254 +0530,
7,0,7,[np.float64(0.4382845188284519)],[np.float64(0.14539748953974896)],[1],[0],[0],[3.7147167499933857],['target'],7,0,7,0,8.662147333001485,,10,8.651465832997928,8.662147333001485,8.662147333001485,0.021436791997984983,12.366237875001389,[np.float64(0.4382845188284519)],[np.float64(0.14539748953974896)],[1],[0],[0],[3.7147167499933857],['target'],03,001,2025-10-01_19h03.25.185,visual search,,2025.1.1,None,2025-10-01 19h03.31.469254 +0530,
8,0,8,[np.float64(0.0794979079497908)],[np.float64(0.2405857740585774)],[1],[0],[0],[0.9035669590084581],['target'],8,0,8,0,12.386731291990145,,5,12.37851983300061,12.386731291990145,12.386731291990145,0.012080708009307273,13.282151749997865,[np.float64(0.0794979079497908)],[np.float64(0.2405857740585774)],[1],[0],[0],[0.9035669590084581],['target'],03,001,2025-10-01_19h03.25.185,visual search,,2025.1.1,None,2025-10-01 19h03.31.469254 +0530,
9,0,9,[np.float64(-0.10146443514644352)],[np.float64(-0.4560669456066946)],[1],[0],[0],[1.4289337499940302],['target'],9,0,9,0,13.314329916989664,,10,13.303933999995934,13.314329916989664,13.314329916989664,0.021610791998682544,14.732924707990605,[np.float64(-0.10146443514644352)],[np.float64(-0.4560669456066946)],[1],[0],[0],[1.4289337499940302],['target'],03,001,2025-10-01_19h03.25.185,visual search,,2025.1.1,None,2025-10-01 19h03.31.469254 +0530,
