thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,0,0,[np.float64(-0.17154811715481172)],[np.float64(0.051255230125523014)],[1],[0],[0],[0.9461990410054568],[None],0,0,0,0,0.09358324999629986,,10,0.07705974999407772,0.09358324999629986,0.09358324999629986,0.07707666599890217,1.0233255000057397,[np.float64(-0.17154811715481172)],[np.float64(0.051255230125523014)],[1],[0],[0],[0.9461990410054568],[None],04,001,2025-10-01_19h12.35.392,visual search,,2025.1.1,None,2025-10-01 19h12.42.173735 +0530,
1,0,1,[np.float64(-0.46548117154811713)],[np.float64(0.41631799163179917)],[1],[0],[0],[0.8928799160057679],[None],1,0,1,0,1.0523344590037595,,10,1.0425821249955334,1.0523344590037595,1.0523344590037595,0.01898279201122932,1.9355159169936087,[np.float64(-0.46548117154811713)],[np.float64(0.41631799163179917)],[1],[0],[0],[0.8928799160057679],[None],04,001,2025-10-01_19h12.35.392,visual search,,2025.1.1,None,2025-10-01 19h12.42.173735 +0530,
2,0,2,[np.float64(-0.33368200836820083)],[np.float64(-0.29811715481171547)],[1],[0],[0],[1.3573001670010854],['target'],2,0,2,0,1.953227459001937,,5,1.945077249998576,1.953227459001937,1.953227459001937,0.00940954199177213,3.302446333997068,[np.float64(-0.33368200836820083)],[np.float64(-0.29811715481171547)],[1],[0],[0],[1.3573001670010854],['target'],04,001,2025-10-01_19h12.35.392,visual search,,2025.1.1,None,2025-10-01 19h12.42.173735 +0530,
3,0,3,[np.float64(0.28556485355648537)],[np.float64(-0.4581589958158996)],[1],[0],[0],[0.9869615839998005],['target'],3,0,3,0,3.324856749997707,,5,3.3159668339940254,3.324856749997707,3.324856749997707,0.013330166999367066,4.30299629199726,[np.float64(0.28556485355648537)],[np.float64(-0.4581589958158996)],[1],[0],[0],[0.9869615839998005],['target'],04,001,2025-10-01_19h12.35.392,visual search,,2025.1.1,None,2025-10-01 19h12.42.173735 +0530,
4,0,4,[np.float64(-0.056485355648535567)],[np.float64(0.48326359832635984)],[1],[0],[0],[1.6510526670026593],[None],4,0,4,0,4.335515166996629,,10,4.324894667006447,4.335515166996629,4.335515166996629,0.021711000008508563,5.975990874998388,[np.float64(-0.056485355648535567)],[np.float64(0.48326359832635984)],[1],[0],[0],[1.6510526670026593],[None],04,001,2025-10-01_19h12.35.392,visual search,,2025.1.1,None,2025-10-01 19h12.42.173735 +0530,
5,0,5,[np.float64(0.4027196652719665)],[np.float64(0.13807531380753138)],[1],[0],[0],[0.9003930000035325],[None],5,0,5,0,5.992263916996308,,5,5.985392375005176,5.992263916996308,5.992263916996308,0.00926504100789316,6.885846292003407,[np.float64(0.4027196652719665)],[np.float64(0.13807531380753138)],[1],[0],[0],[0.9003930000035325],[None],04,001,2025-10-01_19h12.35.392,visual search,,2025.1.1,None,2025-10-01 19h12.42.173735 +0530,
6,0,6,[np.float64(-0.04497907949790795)],[np.float64(0.1297071129707113)],[1],[0],[0],[0.7868305000010878],['target'],6,0,6,0,6.905893083996489,,5,6.897693749997416,6.905893083996489,6.905893083996489,0.011678458991809748,7.6845866670046235,[np.float64(-0.04497907949790795)],[np.float64(0.1297071129707113)],[1],[0],[0],[0.7868305000010878],['target'],04,001,2025-10-01_19h12.35.392,visual search,,2025.1.1,None,2025-10-01 19h12.42.173735 +0530,
7,0,7,[np.float64(-0.19665271966527198)],[np.float64(-0.38702928870292885)],[1],[0],[0],[0.9899549999972805],[None],7,0,7,0,7.706191208999371,,5,7.697605209003086,7.706191208999371,7.706191208999371,0.01281300000846386,8.687625959006255,[np.float64(-0.19665271966527198)],[np.float64(-0.38702928870292885)],[1],[0],[0],[0.9899549999972805],[None],04,001,2025-10-01_19h12.35.392,visual search,,2025.1.1,None,2025-10-01 19h12.42.173735 +0530,
8,0,8,[np.float64(-0.1788702928870293)],[np.float64(0.2594142259414226)],[1],[0],[0],[0.860583832996781],['target'],8,0,8,0,8.719615249996423,,10,8.709650499993586,8.719615249996423,8.719615249996423,0.021848749995115213,9.570276541999192,[np.float64(-0.1788702928870293)],[np.float64(0.2594142259414226)],[1],[0],[0],[0.860583832996781],['target'],04,001,2025-10-01_19h12.35.392,visual search,,2025.1.1,None,2025-10-01 19h12.42.173735 +0530,
9,0,9,[np.float64(-0.46338912133891214)],[np.float64(-0.4874476987447699)],[1],[0],[0],[1.095691334005096],[None],9,0,9,0,9.60088050000195,,10,9.590478666999843,9.60088050000195,9.60088050000195,0.020036834001075476,10.68621733400505,[np.float64(-0.46338912133891214)],[np.float64(-0.4874476987447699)],[1],[0],[0],[1.095691334005096],[None],04,001,2025-10-01_19h12.35.392,visual search,,2025.1.1,None,2025-10-01 19h12.42.173735 +0530,
